variante,artiste_nom
", Charivari",CHARIVARI
", DANAÏDE",DANAÏDE
", Luke",LUKE
/ PAS LE VENDREDI,PAS LE VENDREDI
: DANAÏDE,DANAÏDE
: DEE HEY ZEE,DEE HEY ZEE
Amants,LES AMANTS
"Apéro Jazz Manouche, scène ouverte",Apéro Jazz Manouche - Scène Ouverte
"BLACKUB,",BLACKUB
BOB THÉÂTRE,le Bob Théâtre
Barjos du Tango,Les Barjos du Tango
Bob Théâtre,le Bob Théâtre
"Boeuf Bal Folk, L'",Boeuf Bal Folk
Bouffou théâtre,le Bouffou Théâtre
Boules en cric! boules en crac!,Boules en cric ! boules en crac !
Boules en cric!boules en crac!,Boules en cric ! boules en crac !
C'est la crise!,C'est la crise
CAMELEONS,LES CAMELEONS
CHAT,LE CHAT
Candiratons,Les Candiratons
Choeur départemental de la Sarthe,le Choeur Départemental de la Sarthe
"Cie Fais pas ci, Fais pas ça",Cie Fais pas ci fais pas ça
"Cie Fais pas ci, fais pas ça",Cie Fais pas ci fais pas ça
Cie Frotter Frapper,Cie Frotter/frapper
Cie Houlala,Houlala Cie
Cie Pieces & M.O,Cie Pieces et Main d'Oeuvre
"Cie Piment, Langue d'oiseau",Cie Piment Langue d'Oiseau
Comment va le monde,Comment va le monde ?
Cowboy ou indien,Cowboy ou indien?
Cowboy ou indien ?,Cowboy ou indien?
DAVE GOLITIN SOLO,DAVE GOLITIN
Damian G. Even,Damian G Even
ESPRIT DU CLAN,L'ESPRIT DU CLAN
ETC,ETC…
ETC..,ETC…
ETC...,ETC…
Ecart de ton,L'ECART DE TON
Est-ce que je peux sortir de table?,Est-ce que je peux sortir de table ?
Et Alors Cie !,Et Alors ! Compagnie
Et alors?,Et Alors !
FATALS PICARDS,LES FATALS PICARDS
FEU ! CHATTERTON,FEU! CHATTERTON
Feu,LE FEU
Frichti !,Frichti
Groupe Vertigo,Le Groupe Vertigo
HOT CLUB DU MANS,LE HOT CLUB DU MANS
Histoire de...,Histoire de …
INTÉRIEUR/NUIT,INTÉRIEUR NUIT
"IRIE ITES,",IRIE ITES
JAMES P HONEY,JAMES P. HONEY
"Jacques,",JACQUES
Je suis votre oubliée,Je suis votre oubliée !
Journal d'une femme de chambre,Le journal d'une femme de chambre
L'atelier dix par dix,Atelier Dix par Dix
LA JAM,JAM
LA MUSIQUE MUNICIPALE DU MANS,MUSIQUE MUNICIPALE DU MANS
LA TERRE TREMBLE !!!,LA TERRE TREMBLE
LE BLAST,BLAST
LE BŒUF DÉZINGUÉ,BŒUF DÉZINGUÉ
LE CODE ROUGE,CODE ROUGE
LE GRIPJ,GRIPJ
LE KYMA,KYMA
LE MANS 21h00,"LE MANS, 21h00"
LE QUATUOR ACCORDO,Quatuor Accordo
LE SCRATCHOPHONE ORCHESTRA,SCRATCHOPHONE ORCHESTRA
LES ART-MONIKS,ART MONIKS
LES BERNARD,BERNARD
"LES HABITS DU DIMANCHE,",LES HABITS DU DIMANCHE
"LES KANKRES,",LES KANKRES
LES SWINDLE,SWINDLE
LIMPROST,La Limprost
La Baraka Prod,Baraka Prod
La Cie Demain c'est dimanche,Cie Demain c'est dimanche
La Famille Moralès,Famille Morales
La Houlala Cie,Houlala Cie
La Perenne cie,Pérenne Cie
La Raymonde,Raymonde
La Tic-Tac Impro,Tic Tac Impro
La Traversée,Traversée
La famille Moralès,Famille Morales
La houlala cie,Houlala Cie
La perenne Compagnie,Perenne Compagnie
Labo du set,Le Labo du Set
Le Snam Comedy Club,Snam Comedy Club
Le Snam Comedy club,Snam Comedy Club
Le Snam Comédy Club,Snam Comedy Club
Le Snam comedy club,Snam Comedy Club
Le Théâtre d'Air,Cie Théâtre d'Air
"Les Imaginaires, Chœur de scène",Les Imaginaires Chœur de scène
Looking for Juliette B.,Looking for Juliette B
L’agent 00203 contre Monsieur K.,L’agent 00203 contre Monsieur K
MANSFIELD.TYA,MANSFIELD TYA
MISS'TINGUETTES,LES MISS TINGUETTES
Mus.irlandaise,Mus. irlandaise
Méga] Younna,Méga Younna
NAKED IN A SPHERE,NAKED (IN A SPHERE)
"Noël, ça vous chante",Noël ça vous chante
"Nöel, ça vous chante",Noël ça vous chante
"ONCE OFF,",ONCE OFF
OPIUM DU PEUPLE,L'OPIUM DU PEUPLE
OULALA XMAS,"OULALA Xmas,"
Orgue à contes,L'Orgue à Contes
Plus de place !,Plus de place
Plus de place!,Plus de place
Qui a tué mon père?,Qui a tué mon père
"ROKIA TRAORE,",ROKIA TRAORE
Rouge !,Rouge
Rouge!,Rouge
SCENE OUVERTE.,Scène ouverte
"SESSION MUSIQUE IRLANDAISE,",Session Musique Irlandaise
SLAM/POESIE,SLAM POESIE
SMAK FLY,SMAC FLY
SMALA FAMILIA,LA SMALA FAMILIA
STEPHANIE SALVADORI B,STÉPHANIE SALVADORI B.
STOP TOWN (,STOP TOWN
SURPRISE!,SURPRISE
SYLVAIN COUEDEL,SYL
SYNDROME DU POUICK,LE SYNDROME DU POUICK
Scène ouverte pour tous les musiciens !,Scène ouverte pour tous les musiciens
Scène ouverte à partir de 21h,"Scène ouverte, à partir de 21h"
"Scène ouverte, à partir de 21h.","Scène ouverte, à partir de 21h"
Session mus.irlandaise,Session Musique Irlandaise
Set Comedy,Le Set Comedy
T.ROAD,T'ROAD
TETES RAIDES,LES TETES RAIDES
Théatre du Radeau,Le Théâtre du Radeau
"Théâtre Sauvage""",THEATRE SAUVAGE
Théâtre de,le Théâtre de
Trétaux de malestable,Les trétaux de malestable
Tréteaux de Malestable,Les tréteaux de Malestable
TÊTES RAIDES,LES TETES RAIDES
TêTES RAIDES,LES TETES RAIDES
Têtes Raides,LES TETES RAIDES
Une nuit,LA NUIT
VENDEURS D'ENCLUMES,LES VENDEURS D'ENCLUMES
VOLEURS DE SWING,LES VOLEURS DE SWING
Vite Vite Vite !,"Vite, vite, vite"
Vite Vite Vite!,"Vite, vite, vite"
Vite vite vite,"Vite, vite, vite"
Vite vite vite!,"Vite, vite, vite"
[Méga] Younna,Méga Younna
la Baraka Prod,Baraka Prod
la Cie Bibendum Tremens,Cie Bibendum Tremens
la Cie Demain c'est dimanche,Cie Demain c'est dimanche
la Cie Exodus,Cie Exodus
la Cie des Gens Pluriels,Cie des Gens Pluriels
la Perenne Cie,Pérenne Cie
la Perenne cie,Pérenne Cie
la Pérenne Cie,Pérenne Cie
le TOF Théâtre,Tof Théâtre
le Théâtre Bascule,Théâtre Bascule
le Théâtre du Zouave,Théâtre du Zouave
le Tof Théâtre,Tof Théâtre
le théâtre Bascule,Théâtre Bascule
le théâtre du Zouave,Théâtre du Zouave
le théâtre du zouave,Théâtre du Zouave
les HOT TONGS,HOT TONGS
les MACSON,MACSON
les spilova,Spilova
les élèves du Conservatoire,élèves du conservatoire
th.,le Théâtre
