nom_canonique,nom_normalise,style
BLOKEISH TONE,blokeish tone,
BLOUM,bloum,
Blues Band Connexion,blues band connexion,
BLUES POWER,blues power,
BLUES SPIRIT,blues spirit,
BLURRY SHAPES,blurry shapes,
BOB BOVANO,bob bovano,
BOB CORN,bob corn,
BOB'S NOT DEAD,bob s not dead,
Boeuf Bal Folk,boeuf bal folk,
BOMBY X,bomby x,
BOMBYX,bombyx,
Bonhome Tétard,bonhome tetard,
BONNE HUMEUR PROVISOIRE,bonne humeur provisoire,
BONOME TETARD,bonome tetard,
BONOME TÊTARD & LES CANCRIÉS,bonome tetard et les cancries,
BOOGERS,boogers,
BOOMTRAPPED,boomtrapped,
Boost,boost,
BOOTER,booter,
BOOYABASS,booyabass,
Borderland,borderland,
"Borgia, comédie contemporaine",borgia comedie contemporaine,
BORIS VIANDE,boris viande,
BORN IN A BLUE ROOM TRIO,born in a blue room trio,
BOTCH UP,botch up,
BOU,bou,
Boules en cric ! boules en crac !,boules en cric boules en crac,
BOUSKIDOU,bouskidou,
bout de rame,bout de rame,
Boîte à Gants,boite a gants,
BRAIN DAMAGE,brain damage,
Braz'Auréoles,braz aureoles,
BRAZATAK,brazatak,
BRETELLE ET GARANCE,bretelle et garance,
BRIGITTE,brigitte,
Brother Kawa,brother kawa,
BROTHER VIBES,brother vibes,
BROTHERS VIBES,brothers vibes,
BROUSSAÏ,broussai,
BRUNO ET JACKY,bruno et jacky,
BRUSH ON MELODICA,brush on melodica,
BRZOWSKI,brzowski,
BUDDY BLUES,buddy blues,
buff,buff,
BUMCELLO,bumcello,
BUNJIL',bunjil,
bunzen,bunzen,
Burger Airport,burger airport,
BURNIN' RUBBER,burnin rubber,
BURNING HEADS,burning heads,
BUTE,bute,
Béatrice Maine,beatrice maine,
BÖRGIA,borgia,
Bœuf Bal Folk,bœuf bal folk,
"Bœuf Bal Folk, L’",bœuf bal folk l’,
BŒUF DÉZINGUÉ,bœuf dezingue,
Bœuf sur le Zinc,bœuf sur le zinc,
C'est la crise,c esaint la crise,
CABADZI,cabadzi,
Cabaret approximatif#3,cabaret approximatif#3,
Cabaret Gargantua,cabaret gargantua,
Cabaret Molière,cabaret moliere,
CADELUCIA,cadelucia,
CAKE AUX PHONES & FAMILY,cake aux phones et family,
CALC,calc,
CALI,cali,
CALL ME DADDY,call me daddy,
CAMILLE,camille,
CANNON FODDER,cannon fodder,
CANTE JONDO,cante jondo,
Capitan,capitan,
CAPTAIN PARADE,captain parade,
CARAVAN PALACE,caravan palace,
CARLOS CREW,carlos crew,
Carmen,carmen,
CARMEN MARIA VEGA,carmen maria vega,
Carnage Piknik,carnage piknik,
Caroll Macsana,caroll macsana,
CARREMANS SWING,carremans swing,
Carver,carver,
Cas(s)ée,cas s ee,
CASEUM,caseum,
CASSIUS BELLY,cassius belly,
CASUALTY,casualty,
CATKAR,catkar,
CATS ON TREES,cats on trees,
CECILE BESNARD,cecile besnard,
CEDRIC THIMON,cedric thimon,
CEDRIC THIMON PROJECT,cedric thimon project,
CELTIC ROAD'S,celtic road s,
Celtic roads,celtic roads,
CELTIC ROAD’S,celtic road’s,
CERCUEIL,cercueil,
Cet enfant,cet enfant,
Ceux de l'atelier,ceux de l atelier,
CEUX QUI MARCHENT DEBOUT,ceux qui marchent debout,
CGT TRIO,cgt trio,
Chanteur à guitare,chanteur a guitare,
CHAOS E.T SEXUAL,chaos e t sexual,
CHAPELIER FOU,chapelier fou,
CHARIVARI,charivari,
CHARLAINE EPINAL,charlaine epinal,
CHARLES FENCKLER,charles fenckler,
CHARLY L TRIO,charly l trio,
CHAUSSE-TRAPPE,chausse trappe,
CHEENNE DE VIE,cheenne de vie,
Chemins de Traverse,chemins de traverse,
CHEVEU,cheveu,
CHICAGO BLUES FESTIVAL,chicago blues festival,
Chiendent théâtre,chiendent theatre,
CHINESE MAN,chinese man,
CHLOÉ LACAN,chloe lacan,
CHOOLERS DIVISION,choolers division,
Christian Brouard,christian brouard,
CHRISTIAN D'ASFELD,christian d asfeld,
CHRISTIAN D'ASFELD TRIO,christian d asfeld trio,
CHRISTOPHE BARANTIN,christophe barantin,
Christophe Brault,christophe brault,
Chœur d'Orphée,chœur d orphee,
CHŒUR RÉSONNANCES,chœur resonnances,
Cie 220 Vols,compagnie 220 vols,
Cie A Fleur De Peau,compagnie a fleur de peau,
Cie Alcyone,compagnie alcyone,
Cie ATEtc,compagnie atetc,
Cie attention fragile,compagnie attention fragile,
Cie au fil du vent,compagnie au fil du vent,
Cie Banquet d'Avril,compagnie banquet d avril,
cie Barks,compagnie barks,
Cie Barolosolo,compagnie barolosolo,
Cie Betty BoiBrut',compagnie betty boibrut,
Cie Bibendum Tremens,compagnie bibendum tremens,
Cie Caprices,compagnie caprices,
Cie Casus Délires,compagnie casus delires,
Cie Cavalcade,compagnie cavalcade,
Cie Cet été,compagnie cet ete,
Cie Cheptel Aleïkoum,compagnie cheptel aleikoum,
Cie Chien de Cirque,compagnie chien de cirque,
Cie Cirque Exalté,compagnie cirque exalte,
Cie Contr'Pied,compagnie contr pied,
Cie Cronopios,compagnie cronopios,
Cie DBK,compagnie dbk,
Cie Defracto,compagnie defracto,
Cie Demain c'est dimanche,compagnie demain c esaint dimanche,
Cie des Frères Duchoc,compagnie des freres duchoc,
Cie des Gens Pluriels,compagnie des gens pluriels,
