nom,ville,latitude,longitude,geo_source,geo_precision
Salle Jean de la Fontaine,Le Mans,48.8268916,-1.4614472,nominatim,exact
Salle Michel Berger,Le Mans,48.0073849,0.1967849,nominatim,city
Salle Mélusine,Le Mans,48.0002205,0.2470691,nominatim,approximate
Salle Paul Richard,Le Mans,48.0073849,0.1967849,nominatim,city
Salle Polyvalente,Le Mans,47.825177,0.280682,nominatim,exact
Salle Théophile Plé,Le Mans,48.0073849,0.1967849,nominatim,city
Salle associative,Le Mans,47.9719667,0.097513,nominatim,exact
Salle des concerts,Le Mans,48.0026277,0.1922505,nominatim,exact
Salle des fêtes,Le Mans,48.0140675,0.1797018,nominatim,exact
Salle des planches,Le Mans,48.1620529,0.1594225,nominatim,approximate
Salle du cloître,Le Mans,48.5018425,-1.0275184,nominatim,approximate
Salle municipale,Le Mans,47.9817765,0.2090159,nominatim,exact
Salon Arthé,Le Mans,48.0073849,0.1967849,nominatim,city
Salon de la rue des 3 Sonnettes,Le Mans,48.0073849,0.1967849,nominatim,city
Secours catholique,Le Mans,47.993763,0.2020307,nominatim,exact
Site de la Salle des Fêtes,Le Mans,48.0073849,0.1967849,nominatim,city
Square Dubois,Le Mans,48.008531,0.1975179,nominatim,exact
Square rue Galilée,Le Mans,48.0073849,0.1967849,nominatim,city
Stade Léon Bolet,Le Mans,48.0073849,0.1967849,nominatim,city
Stade du collège,Le Mans,48.0073849,0.1967849,nominatim,city
Studio de la Cie Marie Lenfant,Le Mans,48.0073849,0.1967849,nominatim,city
Sun 7 Bar,Le Mans,48.0073849,0.1967849,nominatim,city
Terrain de jeu,Le Mans,48.0073849,0.1967849,nominatim,city
Tertre Rouge,Le Mans,47.9604068,0.2148934,nominatim,exact
The Lodge,Le Mans,48.0066308,0.1981096,nominatim,exact
Théâtre Municipal,Le Mans,47.9670232,0.1608339,nominatim,exact
Théâtre Paul Scarron,Le Mans,48.0157424,0.1770035,nominatim,approximate
Théâtre de Chaoué,Le Mans,47.9714288,0.1657499,nominatim,exact
Théâtre de Mamers,Le Mans,48.177856,0.2347429,nominatim,approximate
Théâtre de l'Acthalia,Le Mans,48.0067567,0.1952432,nominatim,exact
Théâtre de l'Écluse,Le Mans,47.9971141,0.1835127,nominatim,exact
Théâtre de l'Éphémère,Le Mans,48.0073783,0.1989582,nominatim,approximate
Théâtre de la Bertoche,Le Mans,48.0073849,0.1967849,nominatim,city
Théâtre des Quinconces,Le Mans,48.0078156,0.2007998,nominatim,exact
Théâtre du Passeur,Le Mans,48.0099636,0.2118261,nominatim,exact
Théâtre Épidaure,Le Mans,48.093081,0.2387978,nominatim,approximate
Twin's Beer,Le Mans,48.0073849,0.1967849,nominatim,city
Un Singe en Hiver,Le Mans,48.0073849,0.1967849,nominatim,city
Unik Music,Le Mans,47.9979702,0.2005569,nominatim,exact
Université,Le Mans,48.0170675,0.1507932,nominatim,exact
Université Amphi Extérieur Bât. Lettres,Le Mans,48.0073849,0.1967849,nominatim,city
V&B Antarès,Le Mans,47.9531611,0.226762,nominatim,exact
Vaurouzé - Université,Le Mans,48.0147356,0.1652025,nominatim,exact
Verre I Table,Le Mans,47.9978989,0.2005843,nominatim,exact
Vieux Mans,Le Mans,48.008836,0.1971929,nominatim,exact
Véron fleurs,Le Mans,48.0073849,0.1967849,nominatim,city
Washington DC,Le Mans,48.0073849,0.1967849,nominatim,city
White-UNDR Club,Le Mans,48.0073849,0.1967849,nominatim,city
bld Winston Churchill,Le Mans,48.0073849,0.1967849,nominatim,city
camion-théâtre,Le Mans,48.0073849,0.1967849,nominatim,city
centre Cial les Jacobins,Le Mans,48.0073849,0.1967849,nominatim,city
centre hospitalier,Le Mans,48.0154142,0.1777417,nominatim,exact
centre ville,Le Mans,48.0017357,0.2030617,nominatim,exact
chapiteau,Le Mans,47.9865185,0.2127646,nominatim,exact
chapiteau bleu promenade Newton,Le Mans,48.0073849,0.1967849,nominatim,city
entre la place des Jacobins et la place de la République,Le Mans,48.0073849,0.1967849,nominatim,city
l'Athéna,Le Mans,47.9679655,0.0911576,nominatim,exact
l.n.c,Le Mans,48.0073849,0.1967849,nominatim,city
médiathèque modularium,Le Mans,48.0073849,0.1967849,nominatim,city
parc de l'Huisne,Le Mans,48.0034171,0.2592087,nominatim,exact
partout en ville,Le Mans,48.0073849,0.1967849,nominatim,city
salle Madeleine Marie,Le Mans,49.5467377,-1.4375796,nominatim,approximate
salle Vauguélande,Le Mans,48.0073849,0.1967849,nominatim,city
École Camille Claudel,Le Mans,48.0191993,0.2118961,nominatim,exact
École Garnier-Pagès,Le Mans,47.9940853,0.1747873,nominatim,exact
École Jean Mermoz,Le Mans,47.9677189,0.2048675,nominatim,exact
École Maternelle des Maillets,Le Mans,48.0175484,0.2137524,nominatim,exact
École Philippeaux,Le Mans,47.987632,0.2074972,nominatim,exact
École Philppeaux,Le Mans,48.0073849,0.1967849,nominatim,city
École Supérieure d'Art et de Design,Le Mans,48.0073849,0.1967849,nominatim,city
École de l'Épau,Le Mans,48.0073849,0.1967849,nominatim,city
École de musique de Saint Saturnin,Le Mans,48.0073849,0.1967849,nominatim,city
École primaire Montaigu,Le Mans,48.0073849,0.1967849,nominatim,city
Église,Le Mans,47.8297945,0.2728886,nominatim,exact
Église N.D. de Ste Croix,Le Mans,48.0073849,0.1967849,nominatim,city
Église Notre-Dame-de-Sainte-Croix,Le Mans,48.0035936,0.210094,nominatim,exact
Église Saint Gilles,Le Mans,47.9309595,0.1845872,nominatim,exact
Église Saint Nicolas,Le Mans,48.0238354,0.2048118,nominatim,exact
Église St. Aldric,Le Mans,48.0124568,0.2128698,nominatim,exact
Église d'Arnage,Le Mans,47.9307246,0.18456,nominatim,exact
Église de Bonnétable,Le Mans,48.0073849,0.1967849,nominatim,city
Église de René,Le Mans,48.0073849,0.1967849,nominatim,city
Église notre dame,Le Mans,48.0996625,0.1561271,nominatim,exact
Épicerie du Pré,Le Mans,48.008193,0.1966019,nominatim,exact
Île aux Planches (pont de fer),Le Mans,48.0073849,0.1967849,nominatim,city
Île de Moulinsart,Le Mans,48.0073849,0.1967849,nominatim,city
Salle l'Eden,Le Manssalleleden,,,,
Espace Faïence,Malicorne,47.813164,-0.0833893,nominatim,exact
Théâtre des Récollets,Montval sur Loir,47.6969942,0.4125246,nominatim,approximate
Salle du Foyer Loisirs de Parigné-L'Évêque,Parigné-L'Évêque,47.9324,0.376251,nominatim,city
Scène Joël Le Theule,Sablé-sur-Sarthe,47.8400712,-0.3352048,nominatim,city
Ferme des Grues Rouges,Saint Saturnin,48.0641536,0.1594091,nominatim,city
Salle Atlantis,Saint-Cosme-en-Vairais,48.2739193,0.4598296,nominatim,approximate
Le La Ré Do,Sillé-le-Guillaume,48.1841304,-0.1275755,nominatim,city
Ô Bord du Loir,Thorée les Pins,47.6871926,0.0423401,nominatim,city
Funky Toons Café,funkytoonscafe,,,,
Le Manhattan Café,matthancafe,,,,
La Pléiade,pleiade,49.4688597,1.0640058,nominatim,exact
Salle de Tresson,salledetresson,,,,
Le Viking's,vikings,,,,
