nom,ville,latitude,longitude,geo_source,geo_precision
Chapiteau du parc de Casablanca,Le Mans,48.0073849,0.1967849,nominatim,city
Chapiteau promenade Newton,Le Mans,48.0073849,0.1967849,nominatim,city
"Chapiteau, parc de l'Epine",Le Mans,48.0073849,0.1967849,nominatim,city
Chapêlmêle,Le Mans,48.0073849,0.1967849,nominatim,city
Chez Marcelle,Le Mans,48.0065772,0.1981638,nominatim,exact
Chope et Compagnie,Le Mans,48.0467565,0.1703818,nominatim,exact
Chope et Compagnie Le Mans Nord,Le Mans,48.0073849,0.1967849,nominatim,city
Chope et Compagnie Le Mans Sud,Le Mans,48.0073849,0.1967849,nominatim,city
Chorus,Le Mans,48.0041788,0.1956641,nominatim,exact
Château de Courtanvaux,Le Mans,48.0073849,0.1967849,nominatim,city
Château de la Forêterie,Le Mans,47.9619338,0.1716336,nominatim,exact
Cinéma Le Kid,Le Mans,48.0073849,0.1967849,nominatim,city
Cinéma Rex,Le Mans,48.5760019,-1.0940584,nominatim,exact
Cinéma le Français,Le Mans,48.0073849,0.1967849,nominatim,city
Cinéma le Royal,Le Mans,47.9687504,0.2040136,nominatim,exact
Circuit Bugatti,Le Mans,47.9571572,0.2161411,nominatim,exact
Circuit des 24 heures,Le Mans,47.9578006,0.2125049,nominatim,exact
Cirque Mimulus,Le Mans,48.0073849,0.1967849,nominatim,city
Cité Plantagenêt,Le Mans,48.008836,0.1971929,nominatim,exact
Cité du cirque & promenade Newton,Le Mans,48.0073849,0.1967849,nominatim,city
Club La Suite 72,Le Mans,48.0073849,0.1967849,nominatim,city
Collégiale Saint-Pierre-la-Cour,Le Mans,48.0070847,0.1968794,nominatim,exact
Comissariat,Le Mans,48.0073849,0.1967849,nominatim,city
Comité des fêtes,Le Mans,47.9789319,0.2315588,nominatim,exact
Complexe Atlantis,Le Mans,48.0073849,0.1967849,nominatim,city
Comédie Le Mans,Le Mans,48.0076134,0.1979345,nominatim,exact
Conservatoire,Le Mans,48.008326,0.1960978,nominatim,exact
Cri-Cri Plage,Le Mans,48.0073849,0.1967849,nominatim,city
Domaine de la Gandonnière,Le Mans,48.0073849,0.1967849,nominatim,city
Domaine du Gasseau,Le Mans,48.0073849,0.1967849,nominatim,city
Dôme Sonore,Le Mans,48.0073849,0.1967849,nominatim,city
EHPAD La reposance,Le Mans,47.9939112,0.2220044,nominatim,exact
ESAD TALM,Le Mans,48.0073849,0.1967849,nominatim,city
EVE - Scène universitaire,Le Mans,48.0177064,0.1610047,nominatim,exact
Eglise Saint Guingalois,Le Mans,49.3080078,-1.1460488,nominatim,exact
Eglise St Nicolas,Le Mans,48.0238354,0.2048118,nominatim,exact
Eglise du Pré,Le Mans,48.0082991,0.1815263,nominatim,exact
Espace Henri Salvador,Le Mans,48.0250891,0.2056839,nominatim,exact
Espace Madeleine Marie,Le Mans,49.5467377,-1.4375796,nominatim,approximate
Espace Ronsard,Le Mans,48.0070847,0.1970721,nominatim,approximate
Espace Saugonna,Le Mans,48.0073849,0.1967849,nominatim,city
Espace Scélia,Le Mans,48.0357033,0.2408021,nominatim,exact
Espace Vègre et Champagne,Le Mans,48.0073849,0.1967849,nominatim,city
Espace bis 18 rue St Martin,Le Mans,48.005421,0.1970424,nominatim,exact
Espace culturel L'Orée du Bois,Le Mans,48.039266,0.1519688,nominatim,exact
Espace des Rivauderies,Le Mans,48.0073849,0.1967849,nominatim,city
Espace du Narais,Le Mans,47.9316586,0.4147334,nominatim,approximate
Esplanade Nelson Mandela,Le Mans,48.0149098,0.2697582,nominatim,exact
Esplanade de la Maison des Arts,Le Mans,48.0073849,0.1967849,nominatim,city
Esplanade du Bicentenaire,Le Mans,48.007151,0.1943517,nominatim,exact
"Esprit Barbara, café solidaire",Le Mans,48.0073849,0.1967849,nominatim,city
FIAA Le Mans,Le Mans,48.0073849,0.1967849,nominatim,city
Forum FNAC,Le Mans,48.0073849,0.1967849,nominatim,city
Galerie Auchan,Le Mans,48.0073849,0.1967849,nominatim,city
Gare TGV,Le Mans,48.0073849,0.1967849,nominatim,city
Gite d'Asnières,Le Mans,48.0073849,0.1967849,nominatim,city
Grape Bar,Le Mans,48.0073849,0.1967849,nominatim,city
Guinguette de la Gèmerie,Le Mans,48.0073849,0.1967849,nominatim,city
Gymnase A. Fournier,Le Mans,48.0073849,0.1967849,nominatim,city
Hall d'Antarès,Le Mans,48.0073849,0.1967849,nominatim,city
Halles,Le Mans,48.0038201,0.1940761,nominatim,exact
Hangar Créalab,Le Mans,48.0017769,0.1931164,nominatim,exact
Hops Store,Le Mans,48.0073849,0.1967849,nominatim,city
Ibis hotel du centre,Le Mans,48.0073849,0.1967849,nominatim,city
Il était une fois...,Le Mans,48.0073849,0.1967849,nominatim,city
Ile promenade Newton,Le Mans,48.0073849,0.1967849,nominatim,city
Itemm,Le Mans,48.0146366,0.1548242,nominatim,exact
Jardin Potager,Le Mans,48.0102505,0.2043398,nominatim,exact
Jardin des plantes,Le Mans,48.0054267,0.2096007,nominatim,exact
Jardins de la cathédrale,Le Mans,48.0092028,0.1996199,nominatim,exact
Jardins des Plantes,Le Mans,48.0073849,0.1967849,nominatim,city
Jim & Jump,Le Mans,48.0163852,0.1509024,nominatim,exact
Kiosque Mozaïc,Le Mans,48.0073849,0.1967849,nominatim,city
Kiosque du jardin des Plantes,Le Mans,48.0073849,0.1967849,nominatim,city
L'Acthalia,Le Mans,48.0067567,0.1952432,nominatim,exact
L'Alambik MJC Ronceray,Le Mans,48.0073849,0.1967849,nominatim,city
L'Austral,Le Mans,48.011083,0.1819342,nominatim,exact
L'Ebauche,Le Mans,48.0073849,0.1967849,nominatim,city
L'Echappée,Le Mans,48.0237557,0.3320482,nominatim,exact
L'Entracte,Le Mans,48.5762211,-1.0934779,nominatim,exact
L'Envol,Le Mans,48.0011703,0.1896027,nominatim,exact
L'Epidaure,Le Mans,48.0073849,0.1967849,nominatim,city
L'Escale,Le Mans,48.0083739,0.3314157,nominatim,exact
L'Espal,Le Mans,47.9952547,0.2330647,nominatim,exact
L'Instinct,Le Mans,48.0129506,0.1498796,nominatim,exact
L'Inventaire,Le Mans,48.0073849,0.1967849,nominatim,city
L'Oasis,Le Mans,47.9597745,0.2022957,nominatim,exact
L'Olivier,Le Mans,47.9959093,0.2029105,nominatim,exact
L'Orée du bois,Le Mans,48.039266,0.1519688,nominatim,exact
L'Union Jack,Le Mans,48.0073849,0.1967849,nominatim,city
L'Utopitre,Le Mans,48.0073849,0.1967849,nominatim,city
L'Éléphant,Le Mans,48.0073849,0.1967849,nominatim,city
L'Épicerie sur le Zinc,Le Mans,48.0073849,0.1967849,nominatim,city
L'Étable,Le Mans,48.0073849,0.1967849,nominatim,city
L'Étoile du Nord,Le Mans,48.0073849,0.1967849,nominatim,city
L'Îlot Co,Le Mans,48.0073849,0.1967849,nominatim,city
L'île aux Planches,Le Mans,48.0073849,0.1967849,nominatim,city
La Bulle,Le Mans,47.9265284,0.189545,nominatim,exact
La Capitainerie,Le Mans,49.6003652,-1.4624014,nominatim,exact
La Capsule,Le Mans,48.0073849,0.1967849,nominatim,city
La Casa,Le Mans,49.1159465,-1.0536626,nominatim,approximate
La Castélorienne,Le Mans,48.0073849,0.1967849,nominatim,city
La Chicane,Le Mans,47.9470049,0.2086523,nominatim,approximate
La Citadelle des Anges,Le Mans,48.0073849,0.1967849,nominatim,city
La Cité du cirque,Le Mans,47.9860917,0.2120548,nominatim,approximate
La Couture,Le Mans,47.805523,0.2974557,nominatim,exact
La Fonderie,Le Mans,48.0069461,0.1886115,nominatim,exact
La Fosse jouanette,Le Mans,48.0073849,0.1967849,nominatim,city
La Halte Mancelle,Le Mans,48.0019968,0.2095558,nominatim,exact
La Longère,Le Mans,48.1188496,0.1892209,nominatim,exact
La Maison Café,Le Mans,48.0029076,0.2052172,nominatim,approximate
La Passerelle,Le Mans,47.9871065,0.2008365,nominatim,exact
La Piraterie,Le Mans,48.0073849,0.1967849,nominatim,city
La Ruche,Le Mans,48.0134129,0.1752376,nominatim,exact
La Sandwicherie,Le Mans,48.0073849,0.1967849,nominatim,city
La Saynète,Le Mans,48.0073849,0.1967849,nominatim,city
La Sirène,Le Mans,48.0064957,0.1987274,nominatim,exact
La Source,Le Mans,48.7094087,-0.8307588,nominatim,exact
La Visitation,Le Mans,48.0037179,0.1936164,nominatim,exact
La bonne pioche,Le Mans,48.0073849,0.1967849,nominatim,city
La flambée,Le Mans,48.0068282,0.1977053,nominatim,exact
La grange Dimeresse,Le Mans,48.0073849,0.1967849,nominatim,city
La guinguette des Tanneries,Le Mans,48.0080212,0.1936012,nominatim,approximate
La pince à vélo,Le Mans,47.8890194,0.268298,nominatim,exact
Le 108,Le Mans,48.0073849,0.1967849,nominatim,exact
Le Backstage,Le Mans,48.0073849,0.1967849,nominatim,city
Le Bakoua,Le Mans,48.0073849,0.1967849,nominatim,city
Le Barouf,Le Mans,48.0050459,0.1965375,nominatim,exact
Le Box Café,Le Mans,48.0073849,0.1967849,nominatim,city
Le Brass'vie,Le Mans,48.0073849,0.1967849,nominatim,city
Le Café Crème,Le Mans,48.0064323,0.1983416,nominatim,approximate
Le Café Noir,Le Mans,48.0073849,0.1967849,nominatim,city
Le Café de la Gare,Le Mans,48.0008085,0.1836327,nominatim,exact
Le Caveau,Le Mans,48.9783278,-1.3365142,nominatim,approximate
Le Chapiteau - Cité du cirque,Le Mans,48.0073849,0.1967849,nominatim,city
Le Circuit de la Bière,Le Mans,48.0073849,0.1967849,nominatim,city
Le Comptoir,Le Mans,48.0010773,0.198064,nominatim,exact
Le Courmesnil,Le Mans,48.0073849,0.1967849,nominatim,city
Le Français,Le Mans,48.018788,0.1928019,nominatim,approximate
Le Guet à Pintes,Le Mans,48.0048966,0.1955588,nominatim,exact
Le Hangar 43,Le Mans,48.0073849,0.1967849,nominatim,city
Le Kaléidoscope,Le Mans,47.9915298,0.2215256,nominatim,exact
Le Labo Sonore,Le Mans,48.0073849,0.1967849,nominatim,city
Le Lapin Blanc,Le Mans,48.0057584,0.1944124,nominatim,exact
Le Local à Bières,Le Mans,47.9507449,0.1803088,nominatim,exact
Le Lézard,Le Mans,48.0063339,0.1981193,nominatim,exact
Le Mac Kinley,Le Mans,48.0073849,0.1967849,nominatim,city
Le Mackeson,Le Mans,48.0073849,0.1967849,nominatim,city
Le Mans Innovation,Le Mans,48.0073849,0.1967849,nominatim,city
Le Mans plage,Le Mans,49.3701328,-1.7577551,nominatim,exact
