initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
zz,Le Mans Plage,,Samedi 13,17h30,Allée des Prairies de Funay,,0€,c,,Braz'Auréoles,batucada,,,,,,,,,,,,,
zz,Le Mans Plage,,Samedi 20,17h30,Allée des Prairies de Funay,,0€,c,,Batuk'en scène,,,,,,,,,,,,,,
zz,Le Mans Plage,,Samedi 27,17h30,Allée des Prairies de Funay,,0€,c,,Batuk'en scène,,,,,,,,,,,,,,
zz,Le Mans Plage,,Samedi 6,17h30,Allée des Prairies de Funay,,0€,c,,Musiko'Métis,,,,,,,,,,,,,,
jlb,Les Affranchis,Arts de la rue,Vendredi 5,14h,Cour Ecole Saint-Jacques,La Flèche,0€,sv,Pyrame & Thisbé,Cie les assoifés d'azur,Théâtre amateur,,,,,,,,,,,,,
jlb,Les concerts des Affranchis,orga. La Flèche Not Dead,Vendredi 5,19h30,Parc des Carmes,La Flèche,0€,c,,Midle Child,indie rock,,Feu,punk rock,,Big Red,raggamuffin,,DJ Loule Rave Box & Nikko Del Barrio ,House techno groovy,,,,
jlb,Les concerts des Affranchis,orga. La Flèche Not Dead,Samedi 6,20h,Parc des Carmes,La Flèche,0€,c,,MADAM,rock,,Tambores social club,batucada,,Didier Super & son groupe discount,"rock ""humoristique""",,DRIFT PUNK ,mega show endurance,,,,
jlb,Les concerts des Affranchis,orga. La Flèche Not Dead,Dimanche 7,20h,Parc des Carmes,La Flèche,0€,c,,PENICHE,Rock Noise instrumental ,,,,,,,,,,,,,
tu,Les Mardis de la Chanson,tous les mardis du 9 juillet au 27 août,Mardi 9,20h30,Île aux Planches,,0€,c,,,,,,,,,,,,,,,,
jlb,Les veillées,,Samedi 20,18h,Théâtre de Chaoué,Allonnes,0€,sv,Zaï Zaï Zaï Zaï,Collectif Jamais trop d'art,th. de rue,,,,,,,,,,,,,
jlb,Les veillées,,Samedi 27,18h,Théâtre de Chaoué,Allonnes,0€,sv,Queen A Man,Cie Ô Captain mon Capitaine,,,,,,,,,,,,,,
pl,Les vendredis de Bois Doublé,,Vendredi 12,19h,Chateau de Bois Doublé,Saint-Célerin,0€,c,,Easy Strike,Rock,,,,,,,,,,,,,
pl,Les vendredis de Bois Doublé,,Vendredi 5,19h,Chateau de Bois Doublé,Saint-Célerin,0€,c,,Brassens,chanson française,,,,,,,,,,,,,
tu,Les Z’arts sur l’herbe,"retraite aux flambeaux, spectacle de feu, feu d’artifice et bal populaire",Samedi 13,20h,Parc de l’Huisne,Champagné,0€,sv,,,,,,,,,,,,,,,,
tu,ONLY WAX #40 // SUMMER SESSION,,Samedi 13,21h-4h,Le Barouf,,0€,c,,ONLY WAX Team feat. Chris Unik,hip hop/grooves/funk/soul/disco,,,,,,,,,,,,,
pl,Pique nique,,Dimanche 7,12h-18h,Chateau de la Foreterie,Allonnes,0€,c,,MoviMiento ,Fanfare,,,,,,,,,,,,,
zz,soirée guinguette,,Samedi 6,19h,,Ardenay-sur-Mérize,0€,c,,Les habits du dimanche,chanson française,,,,,,,,,,,,,
