initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
zz,,,Samedi 25,20h,Boire du bon,Saint-Pavace,15€,c,,Alix Logiaco Trio,jazz,,,,,,,,,,,,,
jlb,Ma Région Vituose,,Samedi 25,20h,Centre Culturel Athéna,La Ferté-Bernard,tnc,c,,,Orchestre symphonique du Perche Saonois,,,,,,,,,,,,,
pl,Superforma fête ses 10 ans,,Samedi 25,20h,L'Oasis,,13 à 20€,c,,Bagarre,pop rave,,Pamela,electro pop,,Nous étions une armée,spoken post-punk,,,,,,,
jlb,Tempo,,Samedi 25,20h,Le Lapin Blanc,,au chapeau,c,,,Scène ouverte + Jam,,,,,,,,,,,,,
jlb,Diverscène,,Samedi 25,19h,Le Rabelais,Changé,13 à 17€,sv,O Féminin,"Lola Bai, Violet Arnold et Kolinga",ch.,,,,,,,,,,,,,
jlb,,,samedi 4,20h30,Bistro Broc Café,Changé,au chapeau,c,,Les Habits du dimanche,folk,,,,,,,,,,,,,
tu,The reggae Zoo #2,"roots, rub a dub, dancehall",Samedi 4,21h,Le Zoo,,0€,c,,JUDI-K Old Capital + Ruff line + Broken Stick + Yard Beat,,,,,,,,,,,,,,
jlb,,,Vendredi 10,20h30,Bistro Broc Café,Changé,au chapeau,c,,Gaston F,,,,,,,,,,,,,,
ce,,,Vendredi 10,20h30,Blue Zinc,,au chapeau,c,,Ineige ,rock,,Hubble,rock,,,,,,,,,,
jlb,,,Vendredi 17,20h30,Bistro Broc Café,Changé,au chapeau,c,,Rock en Scène,,,,,,,,,,,,,,
jlb,,,Vendredi 17,20h,Le Lapin Blanc,,0€,c,,John Maine,Rock Cover,,,,,,,,,,,,,
jlb,,,Vendredi 24,20h30,Bistro Broc Café,Changé,au chapeau,c,,Bruno et Jacky,,,,,,,,,,,,,,
ce,,,Vendredi 24,20h30,Blue Zinc,,au chapeau,c,,Acid Gras,garage punk,,,,,,,,,,,,,
jlb,Salon De Musique,,Vendredi 24,20h,CPFI,,prix libre,c,,Maria Kanavaki &  Christos Pavlis,Polyrythmies Grecques,,,,,,,,,,,,,
pl,Superforma fête ses 10 ans,,Vendredi 24,20h30,L'Alambik MJC Ronceray,,7 à 14€,c,,Théa,post pop,,,,,,,,,,,,,
tu,,,Vendredi 24,19h30,L'Olivier,,0€,c,,Paul & Friends,blues rock,,,,,,,,,,,,,
Jlb,,,Vendredi 24,20h,Le Pilier Rouge,,au chapeau,c,,Burger Airport,funk jazz fusion,,,,,,,,,,,,,
zz,,,Vendredi 24,19h,Le Val’Rhonne,Moncé-en-Belin,0 à 10€,c,,les enjoliveuses,chanson fr,,tito nabat,ch. fr.,,,,,,,,,,
tu,,,Vendredi 3,22h,Le Lézard,,0€,c,,Jim FLoyd,dj set cold low tempo,,,,,,,,,,,,,
jlb,,,Vendredi 31,20h30,Bistro Broc Café,Changé,au chapeau,c,,David Bonneville,,,,,,,,,,,,,,
ce,,,Vendredi 31,20h30,Blue Zinc,,au chapeau,c,,Angle mort,rock,,,,,,,,,,,,,
jlb,,,Vendredi 31,20h,Le Lapin Blanc,,0€,c,,Eli' Jazz,Jazz Swing,,,Jam Session,,,,,,,,,,
tu,,,Vendredi 31,21h,Le Zoo,,au chapeau,c,,Smooth Cover,blues jazz,,,,,,,,,,,,,
pl,,,Vendredi 31,20h30,Les Saulnières ,,complet,c,,Clara Ysé,Chanson Folk,,Simone d'Opale,Folk,,,,,,,,,,
tu,,,Vendredi 10,21h,Le Barouf,,0€,c,,35 Hertz featuring Bunzen b2b Knaille,house uk garage,,,,,,,,,,,,,
tu,,,Mercredi 8,21h,Le Zoo,,0€,c,,Carte blanche au trio vannier,ch. fr.,,,,,,,,,,,,,
tu,Blues Spirit,,Vendredi 10,21h,Le Zoo,,0€,c,,,Jam du nouvel an,,,,,,,,,,,,,
tu,,,Samedi 11,21h,Le Zoo,,0€,c,,BoNome têtard ,ch. fr.,,,,,,,,,,,,,
tu,,,Vendredi 17,21h,Le Zoo,,0€,c,,Azuryte,ch. fr.,,,,,,,,,,,,,
tu,,,Samedi 18,21h,Le Zoo,,0€,c,,nameless,,,,,,,,,,,,,,
tu,,,Samedi 25,21h,Le Zoo,,0€,c,,Mysticodd,pop rock,,,,,,,,,,,,,
jlb,Malices au pays,Le festival jeune public du Pays Vallée de Loir,Mercredi 0,,,,,sv,,,Du 28 janvier au 16 fevrier - https://pays-valleeduloir.fr/fileadmin/Ressources/Publication/Malices_final_WEB.jpg,,,,,,,,,,,,,
jlb,,,Dimanche 12,17h,Théâtre du Passeur,,8€,sv,Bouvard et Pécuchet,,lecture,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Dimanche 12,16h,Théâtre Paul Scarron,,10 à 18€,sv,"Kessel, la liberté à tout prix",Franck Desmedt,th./Avignon off,,,,,,,,,,,,,
jlb,,,Dimanche 19,16h,La Castélorienne,Montval-sur-Loir,4 à 8€,sv,A quelle heure on ment,Les Joyeux de l'Escotais,th.,,,,,,,,,,,,,
jlb,,,Dimanche 19,15h,salle Mélusine,Bonnétable,5 à 8€,sv,Tais-toi François,Tréteaux de Malestable,th.,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Jeudi 16,20h30,Théâtre Paul Scarron,,12 à 15€,sv,Un parfum de vérité ,Création Acthalia,th.,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Vendredi 17,20h30,Théâtre Paul Scarron,,12 à 15€,sv,Un parfum de vérité ,Création Acthalia,th.,,,,,,,,,,,,,
