initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
tu,Le before du bef#9 coorga garage5/le bidul,,Jeudi 30,20h30,Le Barouf,,prix libre,c,,Orchestral Heat (C_c & Avventur),raw digital dub,,Unik music,mix vinyle dub/reggae/dance hall,,,,,,,,,,
bl,,,Mardi 14,20h30,Scène J.Le Theule,Sablé-sur-Sarthe,10 à 20€,sv,Monte-Cristo,Cie La Volige,récit musical,,,,,,,,,,,,,
zz,,,Dimanche 26,12h30,Le Pâtis,,55 €,sv,Bang Bang,,repas spectacle,,,,,,,,,,,,,
jlb,,,Mercredi 1,20h30,Bistro Broc Café,Changé,au chapeau,c,,Paul Sanders,reprise soul funk,,,,,,,,,,,,,
jlb,,,Samedi 18,20h,La Piraterie,,0 €,c,,Just fun,reprises chansons françaises,,,,,,,,,,,,,
jlb,,,Samedi 11,20h30,Bistro Broc Café,Changé,au chapeau,c,,Hendrix Coffee,reprises Hendrix acoustique,,,,,,,,,,,,,
ce,,,Samedi 4,20h30,Blue Zinc,,au chapeau,c,,Kirjava,rock,,,,,,,,,,,,,
tu,,,Samedi 18,21h,Le Zoo,,au chapeau,c,,Didier,rock blues,,,,,,,,,,,,,
jlb,,,Vendredi 31,20h30,Bistro Broc Café,Changé,au chapeau,c,,Sham ,rock blues,,,,,,,,,,,,,
tu,,,Vendredi 10,20h,Le Lapin Blanc,,0 €,c,,Albert rose,rock cover,,,,,,,,,,,,,
tu,,,Samedi 18,20h,Le Lapin Blanc,,0 €,c,,John Maine,rock cover,,,,,,,,,,,,,
ba,,,Vendredi 17,19h30,Bar l'Olivier,Le Mans,0 €,c,,Did And Guests,Rock Folk Blues,,,,,,,,,,,,,
tu,garage5,,Lundi 27,20h,Brasserie Septante Deux,,prix libre,c,,Jean Luc Guionnet & Lotus Eddé Khouri,Sax alto/danse,,Paul Rogers & J.L Guionnet,mus. improvisée,,,,,,,,,,
jlb,,,Samedi 18,20h30,Théâtre Paul Scarron,,8 €,c,Open stage music,,Scène ouverte,,,,,,,,,,,,,
ce,Tempo,,Mercredi 29,20h,Blue Zinc,,au chapeau,c,,,Scène ouverte + jam,,,,,,,,,,,,,
jlb,,,Mardi 14,20h30,Bistro Broc Café,Changé,au chapeau,c,,,Scène ouverte avec Antoine,,,,,,,,,,,,,
jlb,,,Mardi 21,20h30,Bistro Broc Café,Changé,au chapeau,c,,,Scène ouverte avec Yves,,,,,,,,,,,,,
tu,,,Vendredi 17,21h,Le Lézard,,prx libre,c,,Ari + solitone,screamo / bordeaux,,,,,,,,,,,,,
jlb,,,Samedi 11,18h,Brasserie Mage Malte,Mamers,0 €,c,,,Session musique Irlandaise,,,,,,,,,,,,,
tu,5 ans de Cooking Cahos,,Samedi 25,19h30,Le Lézard,,0 €,sv,,,Soirée falafels,,,,,,,,,,,,,
zz,Cirk'en salle !,,Dimanche 26,17h,Le Val’Rhonne,Moncé-en-Belin,6 €,sv,Tu seras funambule comme papa,Cie Cet été,spectacle,,,,,,,,,,,,,
tu,,,Dimanche 5,16h30,Théâtre Paul Scarron,,5 à 10€,sv,Rewind,La Limprost,spectacle improvisé,,,,,,,,,,,,,
bl,,,Mardi 28,9h15 et 18h,Espace Scélia,Sargé-lès-le-Mans,4 €,sv,Infantia,Théâtre Bascule,spectacle jeune public,,,,,,,,,,,,,
bl,,,Mercredi 29,10h45 et 17h,Espace Scélia,Sargé-lès-le-Mans,4 €,sv,Infantia,Théâtre Bascule,spectacle jeune public,,,,,,,,,,,,,
bl,,,Samedi 25,21h30,Pont romain,Montfort-le-Gesnois,5/10€,sv,La veillée,Cie OpUS,spectacle plein air / th. de rue,,,,,,,,,,,,,
bl,,,Vendredi 24,21h30,Salle Coppélia,La Flèche,7 à 15€,sv,La veillée,Cie OpUS,spectacle plein air / th. de rue,,,,,,,,,,,,,
bl,,,Samedi 25,20h30,Espace Scélia,Sargé-lès-le-Mans,8/11€,c,,Face à face avec Aune,spectacle/rencontre,,,,,,,,,,,,,
bl,,,Vendredi 24,20h30,Espace Scélia,Sargé-lès-le-Mans,8/11€,c,,Face à face avec Aune,spectacle/rencontre,,,,,,,,,,,,,
jlb,,,Samedi 25,21h,Comédie Le Mans,,28 €,sv,,Fanny Ruwet,Stand Up,,,,,,,,,,,,,
jlb,,,Vendredi 24,21h,Comédie Le Mans,,28 €,sv,,Fanny Ruwet,Stand Up,,,,,,,,,,,,,
jlb,,,Lundi 20,20h30,Comédie Le Mans,,28 €,sv,,Marina Cars,Stand Up,,,,,,,,,,,,,
jlb,,,Mardi 21,21h,Comédie Le Mans,,28 €,sv,,Marina Cars,Stand Up,,,,,,,,,,,,,
jlb,,,Lundi 6,20h30,Comédie Le Mans,,10 €,sv,Humour en scène,,Stand up,,,,,,,,,,,,,
zz,,,Samedi 18,18h,Les Saulnières ,,0 €,sv,,Piazzolla piazzolla,tango nuevo &bal argentin,,,,,,,,,,,,,
tu,,,Jeudi 30,20h30,La Bertoche,,10 €,sv,Cabaret des givrés et autres monstruosités,Atelier du mardi,th.,,,,,,,,,,,,,
tu,,,Mercredi 29,20h30,La Bertoche,,10 €,sv,Cabaret des givrés et autres monstruosités,Atelier du mardi,th.,,,,,,,,,,,,,
tu,,,Vendredi 31,20h30,La Bertoche,,10 €,sv,Cabaret des givrés et autres monstruosités,Atelier du mardi,th.,,,,,,,,,,,,,
