initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
tu,,,Vendredi 13,20h,Salle des fêtes,Cures,tnc,c,,Bout de rame,mus. irlandaise,,,,,,,,,,,,,
CE,,,Vendredi 20,20h30,Blue Zinc,,au chapeau,c,,RUN RONIE RUN,rock,,,,,,,,,,,,,
tu,,,Vendredi 20,19h30,L'Olivier,,0 €,c,,Caroll Macsana,reprises tubes uk,,,,,,,,,,,,,
tu,,,Vendredi 20,20h,Le Lapin Blanc,,0 €,c,,Manu K,blues,,,Jam Session,,,,,,,,,,
tu,,,Vendredi 20,21h,Le Lézard,,au chapeau,c,,Stone cold dead,grave psyché/le Mans,,No Sleep Till,dawn/stoner/Lille,,,,,,,,,,
tu,,,Vendredi 27,20h30,Blue Zinc,,prix libre,c,,chaos rules,métal ,,,,,,,,,,,,,
tu,Durapdurap,,Vendredi 27,20h,Brasserie Septante Deux,,prix libre,c,,Drache + Monsieur Saï + Wujia,rap,,,,,,,,,,,,,
tu,Circuits #19,kermesse guitare #1,Vendredi 27,18H30,La Fonderie,,prix libre,c,,collectif 3h10,Digression autours de la guitare,,,,,,,,,,,,,
tu,,,Vendredi 27,20h,Le Lapin Blanc,,0 €,c,,Eli' Jazz,duo jazz swing,,,Jam Session,,,,,,,,,,
tu,,,Vendredi 27,21h,Le Zoo,,au chapeau,c,,Egorama,,,,,,,,,,,,,,
at,,,Vendredi 27,20h30,Les Saulnières ,,0 à 15€,c,,oracle sisters,folk,,astral bakers,rock acoustique,,teenage bed,folk,,,,,,,
tu,Forever Young #4,,Vendredi 27,13h - 19h,Place de la Sirène,,0 €,c,,Leather Wings + Azuryte + Adèle Bakoro + La Douille,pop/rock,,,,,,,,,,,,,
tu,Forever Young #4,,Vendredi 27,13h - 19h,Place Saint-Nicolas,,0 €,c,,Alkioz + Styff + Collectif Open the gate,rap/hip-hop,,,,,,,,,,,,,
tu,Foire aux oignons,,Vendredi 6,20h,Blue Zinc,,0 €,c,,,DJ Sets,,,,,,,,,,,,,
zz,,,Vendredi 6,19h,Guinguette des Tanneries,,0 €,c,,Nicolas Chavet,Pop folk,,,,,,,,,,,,,
zz,,,Vendredi 6,20h,Yourte de la Maison des Abeilles,Pruillé-le-Chétif,15 €,c,,Abhisek Lahiri (sarod) et Partha Sarathi Mukherjee (tabla),musique indienne,,,,,,,,,,résa sur hello asso,,,
tu,Le Grand Festival IntergalactiK de Clown-es,,Dimanche 1,10h30 - 18h,,Jupilles,0 €,sv,Ze Match,Cie Laissez fou rêver,,,,Lâcher de clowns + Scène ouverte,,,,,,,,,,
bea,,,Dimanche 15,17H30,La Citadelle des Anges,Teloché,28 €,sv,J'imite donc je suis,Gérard Dahan,,,,,,,,,,,,,,
zz,,,Dimanche 15,17h,plaine de chaoué,Allonnes,0 €,sv,Chantal chante Johnny,Cie Zutano BaZar,,,,,,,,,,,,,,
