initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
tu,,,Vendredi 20,21h,Le Zoo,,au chapeau,c,,Azuryte,électrofolk,,,,,,,,,,,,,
tu,,,Vendredi 6,21h,Le Zoo,,au chapeau,c,,Celtic roads,mus. irlandaise,,,,,,,,,,,,,
pl,Superforma,,Samedi 7,20h30,Les Saulnières ,,16 à 23€,c,,Thomas de Pourquery,pop-psychédélique,,Sophye Soliveau,harpe & soul,,,,,,,,,,
pl,Superforma,,Vendredi 6,20h30,Les Saulnières ,,13 à 20€,c,,Chilla,Rap/Hip Hop,,Myra,rap pop,,,,,,,,,,
tu,La Perche Production,,Vendredi 13,20h30,Les Saulnières ,,27 à 34€,sv,Félicitations et Tout et Tout,Benjamin Tranié,humour,,,,,,,,,,,,,
jlb,,,Dimanche 1,16h,Maison de quartier Pierre Guédou,,0 €,c,,,Orchestre symphonique de la musique municipale du Mans,,,,,,,,,,,,,
tu,,,Samedi 14,14h30,Médiathèque Louis Aragon,,0 €,sv,Comme un air de fête,,scène ouverte,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Samedi 7,20h30,Palais des Congrès,,15 à 25€,sv,Colorature,Stephen Temperley,Théâtre,,,,,,,,,,,,,
jlb,,,Vendredi 20,20h30,Salle Atlantis,Saint-Cosme-en-Vairais,14 €,sv,La discothérapeute,Annadré Vanier,th. musical,,,,,,,,,,,,,
tu,A.D.O.R.A.M.U.S,,Dimanche 1,17h,Salle des concerts,,15 à 20€,sv,Festif !,"Orchestre ""Les Concerts du Mans""",mus. classique,,,,,,,,,,,,,
tu,,,Dimanche 15,16h,Salle des concerts,,19 à 28€,sv,Le voyage dans la lune,Le Choeur d'Orphée ,opéra d'Offenbach,,,,,,,,,,,,,
tu,,,Mercredi 18,20h,Salle des concerts,,0 €,sv,,Orchestre d'Harmonie du Mans,,,,,,,,,,,,,,
tu,,,Samedi 14,20h,Salle des concerts,,19 à 28€,sv,Le voyage dans la lune,Le Choeur d'Orphée ,opéra d'Offenbach,,,,,,,,,,,,,
pl,Superforma,,Vendredi 13,20h30,Salle Jean Carmet,Allonnes,13 à 20€,c,,Lescop,Pop,,Simone Ringer,Pop,,,,,,,,,,
pl,,,Vendredi 6,20h,Salle Jean Carmet,Allonnes,"2,50 à 6€",sv,Tempête dans un verre d'eau,Cie Tac Tac,Théatre,,,,,,,,,,,,,
bl,,,Samedi 7,17h,Salle P.Richard,Montfort-le-Gesnois,5 à 10€,sv,Bateau,Cie Les Hommes Sensibles,théâtre d'objets dès 5ans,,,,,,,,,,,,,
tu,,,Samedi 14,19h30,Salle Pierre Perret,,18 à 23€,c,,JUSTIN VALI en trio,musique malgache,,,,,,,,,,,,,
