initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
jlb,,,Samedi 17,18h30,Théâtre du Passeur,,8 à 10€,sv,"GUERRE, et si ça nous arrivait",Cie la Cigale spectacles,théâtre,,,,,,,,,,,,,
jlb,,,Samedi 24,21h00,Comédie Le Mans,,25 €,sv,L'HYPNOSE À TRAVERS LE TEMPS,HERVÉ BARBEREAU ,HYPNOSE,,,,,,,,,,,,,
zz,,,Samedi 24,20h30,Le Courmesnil,Loué,4 à 10€,sv,Le syndrome du banc de touche,Cie le grand Chelem,théâtre,,,,,,,,,,,,,
zz,,,Samedi 24,19h30,Le Pâtis,,à partir de 84€,sv,Bang bang,,repas spectacle,,,,,,,,,,,,,
jlb,,,Samedi 3,20h30,Comédie Le Mans,,22 €,sv,Coco,Kevin Levy,One man Show,,,,,,,,,,,,,
jlb,,,Samedi 3,20h30,Complexe Atlantis,Saint-Cosme-en-Vairais,7 €,sv,"Attention, sac poubelle égaré",Cie du Vair,théâtre,,,,,,,,,,,,,
jlb,,,Samedi 3,20h30,La Castélorienne,Montval-sur-Loir,12 à 28€,sv,La Delicatesse,"Cie Miranda, A Mon Tour Prod, Pierrick Quenouille",théâtre,,,,,,,,,,,,,
tu,La fièvre du samedi matin,mus. classique,Samedi 3,11h,La Fonderie,,0 €,sv,Deuxième livre de madrigaux de Martin Moulin,Ensemble Offrandes,,,,,,,,,,,,,,
zz,,,Samedi 3,20h30,La Longère,Coulans-sur-Gée,4 à 10€,sv,Qu'est ce que le théâtre,théatre de l'Ultime,théâtre & humour,,,,,,,,,,,,,
zz,,,Samedi 3,19h30,Le Pâtis,,à partir de 84€,sv,Bang bang,,repas spectacle,,,,,,,,,,,,,
jlb,,,Samedi 3,19h15,Théâtre du Passeur,,5 €,sv,Contes de fées,Rozenn Bodin,Contes,,,,,,,,,,,,,
jlb,,,Vendredi 16,20h30,Comédie Le Mans,,25 €,sv,Quelqu'un de bien,Romuald Maufras,One man Show,,,,,,,,,,,,,
tu,,,Vendredi 16,20h30,Musée de la Musique Mécanique,Dollon,prix libre,sv,Parole parle d'Amour,Cie Liv,"duo rock'n clown, sortie de résidence",,,,,,,,,,,,,
zz,,,Vendredi 2,18h30,Cité du cirque,,0 €,sv,sortie de résidence,La Sismique Cie,cirque,,,,,,,,,,,,,
jlb,20 ème rencontres Choregraphique Maine Saonois,,Vendredi 2,20h30,Espace Saugonna,Mamers,tnc,sv,Area jeune Ballet,,danse ,,,,,,,,,,,,,
tu,,,Vendredi 2,18h,L’Alambik MJC Ronceray,,complet,sv,En terre,Cie Nomorpa,spect. jeune public,,,,,,,,,,,,,
zz,,,Vendredi 2,,Le Pâtis,,à partir de 14€,sv,Au secours on a un bébé,,pièce comique,,,,,,,,,,,,,
jlb,,,Vendredi 2,20h30,Le Rabelais,Changé,7 à 11€,sv,Oiseau,Cie de la Polka,théâtre,,,,,,,,,,,,,
zz,,,Vendredi 2,18h45,Le Val’Rhonne,Moncé-en-Belin,6 €,sv,Tout tournéboulé,Cie la Limprost,conte musical,,,,,,,,,,,,,
tu,Théâtre de l'Acthalia,,Vendredi 2,20h30,Salle des concerts,,10 à 18 €,sv,Zola l’infréquentable,Didier Caron,théâtre historique,,,,,,,,,,,,,
zz,,,Vendredi 23,20h30,chapiteau du plongeoir,,5 à 12€,sv,Sarabande,Cie Frotter Frapper,cirque et musique,,,,,,,,,,,,,
jlb,,,Vendredi 23,21h00,Comédie Le Mans,,22 €,sv,Un spectacle de type Magie,Julien Sonjon,Magie,,,,,,,,,,,,,
tu,,,Vendredi 23,19h,La Fonderie,,0 €,sv,,Barolosolo,"clown, sortie de résidence",,,,,,,,,,,,,
zz,,,Vendredi 23,20h30,Le Pâtis,,à partir de 14€,sv,Au secours on a un bébé,,pièce comique,,,,,,,,,,,,,
bl,Festival Malices au Pays du Loir,,Vendredi 23,19h,Salle Coppélia,La Flèche,4 €,sv,Faraëkoto,Cie 6ème dimension,danse hip-hop,,,,,,,,,,,,,
jlb,,,Vendredi 23,20h30,Théâtre Municipal,Mamers,5 à 8 €,sv,L'amour vache,Les trétaux de Malestables,théâtre,,,,,,,,,,,,,
jlb,,,Vendredi 9,20h30,Comédie Le Mans,,25 €,sv,Imparfaits,Florian Lex,One man Show,,,,,,,,,,,,,
jlb,,,Vendredi 9,20h30,Complexe Atlantis,Saint-Cosme-en-Vairais,10 €,sv,Les Lettres de mon Moulin,Corinne Menant,lecture théatraliséee,,,,,,,,,,,,,
zz,,,Vendredi 9,20h30,L’Éolienne,Arnage,7 à 14€,sv,Coup de sifflet,,théâtre intrigue policière,,,,,,,,,,,,,
zz,,,Vendredi 9,20h30,Le Pâtis,,tnc,sv,Bienvenue à Troulane,,comédie/chant,,,,,,,,,,,,,
zz,,,Vendredi 9,19h,Le Val’Rhonne,Moncé-en-Belin,8 €,sv,Cowboy ou Indien ?,Cie Groupe Déjà,théâtre,,,,,,,,,,,,,
tu,Semaine de L’Établissement d’Enseignement Artistique 5 au 10 février Loué/Brûlon/Coulans-sur-Gée,"ateliers de musique, de danse et de peinture",Lundi 5,,,,,,,,,,,,,,,,,,,https://www.cc-lbn.fr/culture-et-sport/culture/,,
tu,Festival Festi'Mioches #13,"Festival jeune public les 28, 29 fevrier et 1 er mars",Mercredi 28,10h-22h,L'Alambik MJC Ronceray,,,,,,,,,,,,,,,,,,,
zz,,,Vendredi 23,18h30,Théâtre Paul Scarron,,bénéfice pour les missions en miieu médical et social,,Éducation sentimentale,,solo clown,,,,,,,,,,,,,
