"initiales","festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"zz",,,"Samedi 8","20h30","Bistro Broc Café","Changé","au chapeau","c",,"Sister ann","Chanson pop rock",,,,,,,,,,
"ce","Disco Zinc",,"Samedi 8","21h","Blue Zinc",,"au chapeau","c",,"Clément DMT + Bunzen","disco/house",,,,,,,,,,
"TU",,,"Samedi 8","21h","Brasserie Septante Deux",,"prix libre","c",,"Nor Belgraad","Post-punk/Paris",,,,,,,"https://www.youtube.com/watch?v=pKT3aFEBX2U","https://www.facebook.com/norbelgraad/",,
"TU","LadyFest","Un festival #féminin & #féministe","Samedi 8","20h","Chapêlmêle","Alençon","prix libre","sv","Concerts / spectacles / Ateliers / Expo",,,,,,,,,,,,
"TU",,,"Samedi 8","20h30","Cité du cirque",,"4 à 8€","sv","YIN","Cie Monad","cirque tout public",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/yin-2/",,,
"TU",,,"Samedi 8","20h30","Comédie Le Mans",,"20€","sv","10 ans de mariage","Alil Vardar","Comédie",,,,,,,,,,
"TU",,,"Samedi 8","21h","Le Zoo",,"au chapeau","c",,"Albahaca",,,,,,,,,,,
"TU",,,"Samedi 8","20h","Les moulins de Paillard","Poncé-sur-le-Loir","0€","sv","Transublimation","Ensemble Offrandes","classique",,,,,,,,,,
"JLB",,,"Samedi 8","17h","Théâtre du Passeur",,"8 à 10€","sv","Polaroïd",,"théâtre",,,,,,,,,,
"TU",,,"Samedi 8","14h30 et 18h","Théâtre Paul Scarron",,"0€","sv","Les enfants du Scarron","NBA Spectacle","conférence théâtralisée > 10ans",,,,,,,,,,
"zz",,,"Vendredi 14","20h30","Bistro Broc Café","Changé","au chapeau","c",,"Marie & Balthazar","Chansons françaises revisitées",,,,,,,,,,
"ce",,,"Vendredi 14","21h","Blue Zinc",,"au chapeau","c",,"Mardi Gras",,,,,,,,,,,
"JLB",,,"Vendredi 14","20h","Centre Culturel Athéna","La Ferté-Bernard","8 à 17€","c",,"Electro Deluxe","jazz soul funk",,,,,,,,,,
"TU",,,"Vendredi 14","21h","Chez Marcelle",,"0€","c",,"collectif Racyne","électro/house/techno",,,,,,,,,,
"TU",,,"Vendredi 14","20h30","Comédie Le Mans",,"t.n.c","sv","Adopte un Jules.com","E. Valentin & A. Gaston","Comédie",,,,,,,,,,
"JLB",,,"Vendredi 14","20h","Espace du Narais","Saint-Mars-la-Brière","0€","sv","L'arbre et le changement climatique",,"Conférence",,,,,,,,,,
"JLB",,,"Vendredi 14","18h30","Eve scène universitaire",,"4 à 10€","sv","Qui a tué mon père","Et Alors ! ","théâtre",,,,,,,"etalors-compagnie.com",,,
"TU",,,"Vendredi 14","20h30","L'Austral",,"prix libre","c",,"Poppy Club","synthé pop",,,,,,,"https://www.facebook.com/profile.php?id=100063996637205",,,
"BL",,,"Vendredi 14","20h30","L'Entracte","Sablé-sur-Sarthe","8/10/13€","sv","La Mécanique du hasard","Centre dramatique national itinérant","th.",,,,,,,,,,
"zz",,,"Vendredi 14","18h","L’Alambik MJC Ronceray",,"4 à 6€","sv","Younna concert","Cie Tiksi","rêverie électronique tout public",,,,,,,,,,
"TU",,,"Vendredi 14","20h30","L’Éolienne","Arnage","12 à 25€","sv","Les Virtuoses",,"Spectacle musical et magique",,,,,,,"https://www.lesvirtuoses.com/?fbclid=IwAR14K5uKUqfXF1L0zeBV-WGGBvRf0ePutd5kyVT9JEs_NslJCi4c93jAqqs",,,
"JLB",,,"Vendredi 14","20h30","La Castélorienne","Montval-sur-Loir","7 à 13€","sv","El Botiniere","Association Al Badil","danse",,,,,,,,,,
"TU",,,"Vendredi 14","21h30","le Café de la Gare","Chenu","au chapeau","c",,"Cannon Folder",,,,,,,,"https://www.facebook.com/CannonFodderLeMans/",,,
"TU",,,"Vendredi 14","20h30","Le Lézard",,"prix libre","c",,"Cryogenical excision","death","The Lump","death",,,,,"https://www.facebook.com/CryogenicalExcision/","https://thelump.bandcamp.com/",,
"TU",,,"Vendredi 14","20h","Le Pilier Rouge",,"prix libre","c",,"Glück","House/Jungle/Drum'n'bass/Sousa/drums/saxs",,,,,,,"https://gluck.bandcamp.com/",,,
"TU",,,"Vendredi 14","21h","Le Zoo",,"au chapeau","c",,"Azuryte","folk/pop",,,,,,,,,,
