initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
jlb,,,Dimanche 14,15h00,Espace Ronsard,Le Lude,1 €,sv,Irresistible Offenbach,les lucioles,théâtre,,,,,,,,,,,,,
zz,,,Dimanche 14,16h30,L’Éolienne,Arnage,7 à 14€,sv,Suzanne,,théâtre,,,,,,,,,,,,,
zz,,,Dimanche 14,19h30,Le Pâtis,,tnc,sv,Bang bang,,repas spectacle,,,,,,,,,,,,,
zz,Revue de la Flambée,,Dimanche 14,15h,Salle des concerts,,tnc,sv,Essential,,,,,,,,,,,,,,,
tu,Le Mans Sonore,,Dimanche 21,16h30 & 20h,CTTM,,0€ sur résa.,sv,Carte Blanche Estelle Shorpp & Jean-Basile Sosa,électroacoustique salle semi-anéchoïque,,,,,,,,,,,,,,
zz,,,Dimanche 21,16h30,Eglise du Pré,,0 €,c,,Sympho'Campus,classique,,,,,,,,,,,,,
jlb,Théätre de l'Acthalia,,Dimanche 21,15h00,Espace Henri Salvador,Coulaines,12/15€,sv,"Boire, Fumer et Conduire vite",Philippe Lelouche,Théâtre,,,,,,,,,,,,,
BA,Le Mans Sonore ,,Dimanche 21,11h/15h/18h,Eve scène universitaire,Le Mans,0 €,c,Entre les voies ,"Création D.Monjanel, JP. Borgogno, E. Six",Concert au casque,,,,,,,,,,,,,
tu,Le Mans Sonore,,Dimanche 21,14h30,Le Mans Innovation,,6€ sur résa.,sv,Instabilités,Benjamin Le Baron & Tristan Ménez,concert hybride et hypnotique,,,,,,,,,,,,,
pl,Le Mans Sonore,,Dimanche 21,16h & 21h,Les Saulnières ,,6€ sur résa.,sv,Transmission,,performance sonore autour d'une cabine téléphonique ,Performance art et science dans les fauteuils immersifs,,,,,,,,,,,,
,Le Mans Sonore,,Dimanche 21,19h,Théâtre Paul Scarron),,0 €,c,,julie Rousse,concert électroacoustique en quadriphonie,,Vincent Epplay,synthétiseur analogique bruitiste,,,,,,,,,,
tu,Le Mans Sonore,,Dimanche 21,14h30 & 17h,Salle des concerts,,0€ sur résa.,sv,Immersons,Quintet Ophonius,spcetacle sonore en 3d,,,,,,,,,,,,,
jlb,,,Dimanche 21,15h00,Salle Jean de la Fontaine,Marolles-les-Braults,5 €,sv,Il était un petit navire,Théâtre du Haut Maine,,,,,,,,,,,,,,
jlb,,,Dimanche 21,17h,Théâtre du Passeur,,au chapeau,sv,nuit de la lecture-John Fante,Cie au tournant,lecture,,,,,,,,,,,,,
jlb,,,Dimanche 28,15h00,Espace Saugonna,Mamers,5 €,sv,Spectacle danse,Ecole de danse,,,,,,,,,,,,,,
BL,,,Dimanche 28,16h30,Espace Scélia,Sargé-lès-le-Mans,10/13€,sv,Le malade imaginaire,Collectif Citron,théâtre,,,,,,,,,,,,,
BA,Le Mans Sonore,,Dimanche 28,15H & 18h,Eve scène universitaire,Le Mans,0 €,c,,Le Dé et la Rose,,,,,,,,,,,,,,
tu,Teriaki x Le Mans Sonore,,Dimanche 28,15h,Hangar Créalab,,0 €,c,,RAD,drone bluesy,,les marquises,ambient lyrique,,,,,,,,,,
zz,Le Mans Sonore // Les allumés du jazz font salon,,Dimanche 28,18h,Palais des Congrès,,1 €,sv,,le peuple etincelle,bal,,,,,,,,,,,,,
zz,Revue de la Flambée,,Dimanche 7,15h,Salle des concerts,,tnc,sv,Essential,,,,,,,,,,,,,,,
MG pour C,,,Jeudi 11,20h30,Blue Zinc,,0 €,c,,Estelle Transon,voyage musical et poétique,,,,,,,,,,,,,
tu,Cortex Booking,,Jeudi 11,19h30,Le Barouf,,0 €,c,,Youth,queer folk,,,,,,,,,,,,,
tu,Soirée Mamie Galette,,Jeudi 11,20h30,Le Pilier Rouge,,prix libre,c,,Antoine4mille,Bassiste t'as vu,,,,,,,,,,,,,
jlb,,,Jeudi 11,19h,Le Rabelais,Changé,tnc,c,jeudi de panurge,Etienne et sa guitare,musique,,,,,,,,,,,,,
tu,Blues Spirit,,Jeudi 11,21h,Le Zoo,,0 €,sv,,Jam session nouvel an,,,,,,,,,,,,,,
BL,,,Jeudi 11,20H30,Scène J.Le Theule,Sablé-sur-Sarthe,10€ à 20€,sv,Dimanche,Cie Chaliwaté & Focus,théâtre gestuel / marionnettes et vidéo,,,,,,,,,,,,,
zz,,,Jeudi 18,18h45,Bibliothèque universitaire,,0 €,c,,Musique au clair de lune,Chants & musique,,,,,,,,,,,,,
MG pour C,,,Jeudi 18,21h,Blue Zinc,,0 €,sv,,Le set comedy,humour,,,,,,,,,,,,,
tu,,,Jeudi 18,20h,Brasserie Septante Deux,,prix libre,c,,COULD SEED / Acanthe / Hubble,Triple plateau Post Rock - Nantes/Rennes/Le Mans,,,,,,,,,,,,,
jlb,,,Jeudi 18,20h30,La Castélorienne,Montval-sur-Loir,7/14€,sv,Cowboy ou Indien,Groupe Déjà,Théâtre,,,,,,,,,,,,,
tu,,,Jeudi 18,20h30,Le Pilier Rouge,,prix libre,c,Une relecture de Thelonious Monk,KNOONK,jazz quartet,,,,,,,,,,,,,
tu,,,Jeudi 18,21h,Le Zoo,,au chapeau,c,,Manu K,blues rock,,,,,,,,,,,,,
tu,Plein Champ x Le Mans Sonore,,Jeudi 25,20h,Chapelle de l'oratoire,,0 €,sv,(S)e(A)scape,collectif Oreille Indiscrète,concert,,,,,,,,,,,,,
tu,Le Mans Sonore,,Jeudi 25,17h30 & 19h30,CTTM,,5€ sur résa.,c,,YOSI HORIKAWA,field music dans salle semi-anéchoïque,,,,,,,,,,,,,
BA,Le Mans Sonore,,Jeudi 25,20H30,Eve scène universitaire,Le Mans,0 €,sv,Les Perruches et moi,,Spectacle scientifique,,,,,,,,,,,,,
tu,Le Mans Sonore,,Jeudi 25,23h,Le Lézard,,0 €,c,,evil moisture + vomir,After harsh noise,,,,,,,,,,,,,
tu,Le Mans Sonore,,Jeudi 25,20h30,Les Cinéastes,,5€ sur résa.,sv,City Girl,Thomas Belhom,Ciné-concert autour du film muet de Murnau,,,,,,,,,,,,,
tu,Le Mans Sonore,,Jeudi 25,21h,Salle des concerts,,0 €,sv,Akousma GRM,,concert sur l’acousmonium de l’INA GRM,,,,,,,,,,,,,
tu,Le Mans Sonore,,Jeudi 25,19h,Théâtre Paul Scarron,,0 €,c,,sister iodine,noise punk,,,,,,,,,,,,,
MG pour C,,,Jeudi 4,21h,Blue Zinc,,0 €,c,,,Musique irlandaise,,,,,,,,,,,,,
tu,,,Jeudi 4,21h,Le Lézard,,0 €,c,,"Vultures, Hyenas and coyotes","Noise/punk, Goteborg/lyon",,Sheik anorak,noise/goteborg,,,,,,,,,,
tu,,,Jeudi 4,21h,Le Zoo,,au chapeau,c,,Noel & Nano,jam session,,,,,,,,,,,,,
jlb,,,Jeudi 4,20h30,Comédie Le Mans,,22 €,sv,Légèrement excessive,Florine Demange,one woman show,,,,,,,,,,,,,
jlb,,,Lundi 1,20h30,Le Rabelais,Changé,tnc,sv,Faim de série,,Théâtre impro,,,,,,,,,,,,,
pl,,Vernissage Musée des ruptures amoureuses,Lundi 15,19h,Théâtre de Chaoué,Allonnes,0 €,,Le musée des ruptures amoureuses,,,,,,,,,,,,,,,
BA,Le Mans Sonore,,Lundi 22,14h30/18h30/20h30,Eve scène universitaire,Le Mans,0 €,c,Entre les voies ,"Création D.Monjanel, JP. Borgogno, E. Six",Concert au casque,,,,,,,,,,,,,
tu,Le Mans Sonore,,Lundi 22,18h30,La Fonderie,,0 €,sv,Le Monde est rond,Cie. Hors Champ,Réinvention sonore du texte de Gertrude Stein (1939),,,,,,,,,,,,,
,Le Mans Sonore,,Lundi 22,19h,Théâtre Paul Scarron),,0 €,c,,Peter Cusack,,,Rhizome,expériences lives de manipulations audio/vidéo,,,,,,,,,,
jlb,,,Lundi 8,20h30,Comédie Le Mans,,25 €,sv,Paris comedy club,,Stand up,,,,,,,,,,,,,
BA,Les inspirantes,,Mardi 16,14H30 & 20H30,Eve scène universitaire,Le Mans,0 €,sv,Serena,Cie Au point du soir,Théâtre,,,,,,,,,,,,,
pl,,,Mardi 16,17h30,Salle Jean Carmet,Allonnes,"2,50€/6€",sv,Les histoires de Poches de Molly Biquette,cie drolatic industrie,Théâtre de marionnettes,,,,,,,,,,,,,
jlb,,,Mardi 2,20h30,Comédie Le Mans,,22 €,sv,Légèrement excessive,Florine Demange,one woman show,,,,,,,,,,,,,
tu,Le Mans Sonore,,Mardi 23,19h30 & 21h,CTTM,,0€ sur résa.,sv,Dub Re-Evolution,PILAH,dub dans salle semi-anéchoïque,,,,,,,,,,,,,
tu,Superforma & Le Mans Sonore,,Mardi 23,21h,Dôme Sonore,,4€ à 11€,c,,MEULE,rock noise live 360°,,,,,,,,,,,,,
BA,Le Mans Sonore,,Mardi 23,19h & 21h,Eve scène universitaire,Le Mans,0 €,sv,"Au delà, vu d'ici",Cie. La cavale,Danse,,,,,,,,,,,,,
,Le Mans Sonore,,Mardi 23,18h30,Théâtre Paul Scarron),,0 €,c & sv,Octobre,Nathan Leproust /Rémi Palis & Léa MKL,concert dessiné,,,,,,,,,,,,,
tu,Le Mans Sonore,,Mardi 23,18h30,Théâtre Paul Scarron,,0 €,sv,Octobre,"Léa MKL, Nathan Leproustet, Rémi Palis",Concert dessiné,,,,,,,,,,,,,
tu,Cortex Booking,,Mardi 30,20h30,Le Barouf,,5€ sur résa.,c,,THE MANIKINS,power garage\Suède,,,,,,,,,,,,,
MG pour C,,,Mercredi 10,20h30,Blue Zinc,,0 €,c,,2'two & friends,jazz,,,,,,,,,,,,,
BA,,,Mercredi 17,17h,Centre Culturel Athéna,,5 €,c & sv,Quand est-ce qu'on danse ?,Cie. Toumback,Jeune public,,,,,,,,,,,,,
tu,Le Mans Sonore,,Mercredi 24,18h30,Brasserie Septante Deux,,0 €,sv,"Tensions, résistances et corps-circuits : à l’écoute des bruits électriques ?",Catherine Guesde et Céleste Gatier,conf-perf,,,,,,,,,,,,,
zz,Le Mans Sonore,,Mercredi 24,17h,centre Cial les Jacobins,,0 €,c,,D'une flûte à l'autre,musique de l'orchestre du conservatoire,,,,,,,,,,,,,
BA,Le Mans Sonore,,Mercredi 24,14H30 & 18h30,Eve scène universitaire,Le Mans,0 €,sv,"Au delà, vu d'ici",Cie. La cavale,Danse,,,,,,,,,,,,,
pl,Le Mans Sonore,,Mercredi 24,20H30,Les Saulnières ,,17€/24€,c,,Flavien Berger,Chanson/Folk/Electro,,Danse munisque Rhônes-Alpes,house vaudou,,,,,,,,,,
,Le Mans Sonore,,Mercredi 24,19h,Théâtre Paul Scarron),,0 €,c,,Eryck Abecassis,électro,,Annabelle Playe,,,,,,,,,,,
MG pour C,,,Mercredi 3,20h,Blue Zinc,,0 €,c,,Boeuf bal folk,danse et concert,,,,,,,,,,,,,
tu,,,Mercredi 3,21h,Le Zoo,,au chapeau,c,,jam st co Musicos,jam session,,,,,,,,,,,,,
jlb,magic circus du 03 au 06,,Mercredi 3,11h,Comédie Le Mans,,16 €,sv,Magic circus,,spectacle enfant dès 1 an,,,,,,,,,,,,,
jlb ,spectacle enfant du 03 au 05,,Mercredi 3,15h30,Comédie Le Mans,,16 €,sv,le tour du monde en 80 tour,,spectacle enfant magie,,,,,,,,,,,,,
jlb,,,Mercredi 3,20h30,Comédie Le Mans,,22 €,sv,Légèrement excessive,Florine Demange,one woman show,,,,,,,,,,,,,
jlb,,,Samedi 13,11h à 14h,Bar de la Rotonde,Mamers,tnc,c,Session Irlandaise,,,,,,,,,,,,,,,
MG pour C,,,Samedi 13,19h,Blue Zinc,,0 €,c,,Elastique à musique,Grèce & Asie mineure,,,,,,,,,,,,,
BL,,,Samedi 13,20h30,Espace Scélia,Sargé-lès-le-Mans,15/18€,sv,27000,Alexi Rossignol,Humour,,,,,,,,,,,,,
zz,,,Samedi 13,19h30,Le Pâtis,,tnc,sv,Bang bang,,repas spectacle,,,,,,,,,,,,,
jlb,,,Samedi 13,16h00,Comédie Le Mans,,16 €,sv,Le tour de ma vie version enfant,Kader Bueno,Magie,,,,,,,,,,,,,
jlb,,,Samedi 13,21h00,Comédie Le Mans,,28 €,sv,Le tour de ma vie,Kader Bueno,Magie,,,,,,,,,,,,,
zz,Revue de la Flambée,,Samedi 13,15h & 21h,Salle des concerts,,tnc,sv,Essential,,,,,,,,,,,,,,,
pl,,,Samedi 13,10h/17h,Théâtre de Chaoué,Allonnes,tarif libre,sv,Touik Touik philomène,Cie. à trois branches,Théâtre petite enfance,,,,,,,,,,,,,
,Rencontre Femme d'histoire,dans le cadre des inspirantes,Samedi 13,à partir de 10h,théâtre des quinconces,,0 €,sv,"Marthe Solange, alias Marthe Bonnard",,,,,,,,,,,,,,,
jlb,,,Samedi 13,18h30,Théâtre du Passeur,,au chapeau,sv,Comme tous les jours,,Théâtre,,,,,,,,,,,,,
zz,,,Samedi 20,20h30,Boire du bon,Saint-Pavace,15 €,c,,Trio Philippe Duchemenin/Patricia Lebeugle/Jean-Pierre Derouard,jazz,,,,,,,,,,,,,
tu,Le Mans Sonore,,Samedi 20,16h30 & 20h,CTTM,,0€ sur résa.,sv,Carte Blanche Estelle Shorpp & Jean-Basile Sosa,électroacoustique salle semi-anéchoïque,,,,,,,,,,,,,,
jlb,Théätre de l'Acthalia,,Samedi 20,20h30,Espace Henri Salvador,Coulaines,12/15€,sv,"Boire, Fumer et Conduire vite",Philippe Lelouche,Théâtre,,,,,,,,,,,,,
zz,,,Samedi 20,19h30,Le Pâtis,,tnc,sv,Bang bang,,repas spectacle,,,,,,,,,,,,,
jlb,,,Samedi 20,21h00,Comédie Le Mans,,25 €,sv,Moyenne,Camille Giry,one woman show,,,,,,,,,,,,,
pl,Le Mans Sonore,,Samedi 20,16h & 21h,Les Saulnières ,,6€ sur résa.,sv,Transmission,,performance sonore autour d'une cabine téléphonique ,Performance art et science dans les fauteuils immersifs,,,,,,,,,,,,
