,"festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"al","Le Mans fait son Cirque",,"Samedi 18","20h30","chapiteau promenade Newton",,"4/8€ ","sv","Ocho","Cirque Baraka","cirque dès 5 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/ocho/",,,
"al",,,"Samedi 18","11h","Cirque Mimulus","Fresnay-sur-Sarthe","3 €","sv","La fête des drilles","sp. des élèves de l'école de cirque",,,,,,,,"https://www.mimulus.fr/evenements",,,
"al",,,"Samedi 18","18h","Théâtre de Chaoué","Allonnes","prix libre","sv","Notre malade imaginaire",,"th. dès 14 ans",,,,,,,,,,
"al","Le Mans fait son Cirque",,"Samedi 18","19h","Théâtre Paul Scarron",,"4/8€","sv","a snack to be","Cie La Main S'affaire",,,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/a-snack-to-be/",,,
"al","Le Mans fait son Cirque",,"Samedi 25","14h","chapiteau promenade Newton",,"0 €","sv","Cabaret en Piste","Etudiants circassiens","cirque tt public",,,,,,,,,,
"al","Le Mans fait son Cirque",,"Samedi 25","19h","chapiteau promenade Newton",,"9/12€","sv","Terces","Cirque Ici","cirque dès 7 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/terces/",,,
"al","Le Mans fait son Cirque",,"Samedi 25","19h30","chapiteau promenade Newton",,"4/8€","sv","Foutoir Céleste","Cirque Exalté","cirque dès 5 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/foutoir-celeste/",,,
"al","Le Mans fait son Cirque",,"Samedi 25","21h15","chapiteau promenade Newton",,"4/8€ ","sv","Ocho","Cirque Baraka","cirque dès 5 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/ocho/",,,
"al","Le Mans fait son Cirque",,"Samedi 25","21h15","chapiteau promenade Newton",,"4/8€","sv","Pandax","Cirque La Cie","cirque dès 9 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/pandax/",,,
"al","Le Mans fait son Cirque",,"Samedi 25","22h45","chapiteau promenade Newton",,"4/8€","sv","Les fauves / 1ère partie : la ménagerie","Cie EA EO","cirque dès 9 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/les-fauves-la-menagerie/",,,
"al","Le Mans fait son Cirque",,"Samedi 25","10h","Cité du cirque",,"0 €","sv","La réconciliation","Collectif Martine à la Plage","cirque dès 7 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/la-reconciliation-2/",,,
"al","Le Mans fait son Cirque",,"Samedi 25","16h30","Cité du cirque",,"4/8€","sv","De bonnes raisons","La Volte Cirque","cirque dès 7 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/de-bonnes-raisons/",,,
"al","Le Mans fait son Cirque",,"Samedi 25","15h","Gymnase A. Fournier",,"4/8€","sv","La Mêlée","Cie 220 Vols","cirque dès 6 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/la-melee/",,,
"al","Le Mans fait son Cirque",,"Samedi 25","15h","Ile promenade Newton",,"4/8€","sv","L'Empreinte","Cie L'Attraction Céleste","cirque dès 10 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/lempreinte/",,,
"MG",,,"Samedi 25","20h","L'Alambik MJC Ronceray","Le Mans","4/6€","sv","Normal.e.s","Cie Alcyone","théâtre amateur",,,,,,,,,,
"al","Le Mans fait son Cirque",,"Samedi 25","16h","promenade Newton",,"0 €","sv","Topdown","La Triochka","cirque tt public",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/topdown-2/",,,
"al","Le Mans fait son Cirque",,"Samedi 25","16h","promenade Newton",,"0 €","sv","Bourask","Frigo Collectif","cirque tt public",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/bourask/",,,
"al","Le Mans fait son Cirque",,"Samedi 25","16h30","promenade Newton",,"0 €","sv","La bande à Tyrex","Collectif La bande à Tyrex","sp. tt public",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/la-bande-a-tyrex/",,,
