,"festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"TU","43e Europajazz Festival",,"Samedi 4","15h00","Abbaye Royale de l’Epau",,"18 à 24€","c",,"SOUNDS OF MIRRORS","oud, saxo, percus","ANDALUSIA ","hommage à Andalusia","DHAFER YOUSSEF & NGUYEN LÊ","oud, guitare","MILES RHAPSODY + DAPHNE MENARD & NICOLAS ROUSSERIE",,"https://www.youtube.com/watch?v=s4bu8n4_P-A","https://www.youtube.com/watch?v=4Elh8WytKfA",,
"JB",,,"Samedi 4","21h","Brasserie Septante Deux",,"0 €","c",,"nexo production",,"sheiten","dj set house techno",,,,,"https://fb.me/e/2oYemCpH6",,,
"JB",,,"Samedi 4","19h30","Guinguette de la Gèmerie","Arnage","0 €","c",,"Lucas Wagner quartet","jazz manouche",,,,,,,,,,
"JB","La fièvre du samedi matin","prélude au concert du soir","Samedi 4","11h","La Fonderie",,"0 €","c",,"Transublimation par Ensemble Offrandes","musique contemporaine",,,,,,,,,,
"JB",,,"Samedi 4","20h","La Fonderie",,"5 €","c",,"Transublimation par Ensemble Offrandes","musique contemporaine",,,,,,,,,,
"JB",,,"Samedi 4","21h","Le Lézard",,"prix libre","c",,"Cannon Fodder","swamp rock","The Big Wireman","garage'n'roll",,,,,"https://www.youtube.com/watch?v=Ca-tUzUvPt4","https://www.youtube.com/watch?v=nw-yOePLutA",,
"MG","Festival Balayvré","festival folk par Adamada","Samedi 4","18h00","Parc de la résidence autonomie","Yvré-l'Évêque","0 €","c",,"Babel","chœur de femme, chants trad du monde",,,,,,,,,,
"JB","Brûlon Dub Meeting #1",,"Samedi 4","21h","salle espace Vègre et Champagne","Brûlon","10 à 12€","c",,"Sanga Mama Africa meets Djack Crew Sound System",,,,,,,,,,,
"MG","Festival Balayvré","festival folk par Adamada","Samedi 4","20h30","salle G. Brassens","Yvré-l'Évêque","0 à 14€","c",,"Bon Matin duo",,"Fleuves",,"Boréale",,"Les recycleurs de son","bal folk",,,,
"JB",,,"Vendredi 10","20h","Chope et Compagnie Le Mans Nord",,,"c",,"Blurry Shapes","rock metal stoner pop","Vertigo","rock",,,,,,,,
"JB","Teriaki Escexp #33",,"Vendredi 10","20h30","La Péniche Excelsior",,"7 à 9€","c",,"Choolers Division","hip hop électro","dDamage","dj set ","Drache","hip hop conchiant",,,"https://www.youtube.com/watch?v=DrOkrhERDHU","https://www.youtube.com/watch?v=9oHernXHPwU","https://www.youtube.com/watch?v=Qg7NSJXLIR8",
"JB",,,"Vendredi 10","22h30-4h","Le Barouf",,"0 €","c",,"Nouveau Monica",,"Evenn",,"A-Sim","électro breaks house",,,"https://www.youtube.com/watch?v=qGx-8c7qQFE","https://www.youtube.com/watch?v=5956N5KegnI",,
"JB",,,"Vendredi 10","20h","Le Lapin Blanc",,"0 €","c",,"John Maine","rock cover",,,,,,,,,,
"JB",,,"Vendredi 10","19h","Le Pilier Rouge",,"0 €","c",,"Dj Social Club","mix et vinyles party",,,,,,,,,,
"CE",,,"Vendredi 10","20h30","L'Épicerie sur le Zinc",,"au chapeau","c",,"HeArt Voices","voix/piano reprises fr.& intern.",,,,,,,,,,
"JB",,,"Vendredi 17","21h","Brasserie Septante Deux",,"0 €","c",,"Collectif Clafoutis","dj set électro",,,,,,,,,,
"JB",,,"Vendredi 17","19h30","La pince à vélo","Teloché","au chapeau","c",,"Paul & Did","pop rock folk",,,,,,,,,,
"JB",,,"Vendredi 17","21h","Le Barouf",,"0 €","c",,"Plagiat","rap in opposition",,,,,,,,,,
"JB",,,"Vendredi 17","20h","Le Lapin Blanc",,"0 €","c",,"Déjanjo","jazz manouche",,,,,,,,,,
"al",,,"Vendredi 17","20h30","Le Lézard",,"prix libre","c",,"Llamame la muerte","psych-noise-rock","sueurs froides","garage-punk-rock",,,,,"https://www.youtube.com/watch?v=6HQtgapBGhk","https://www.youtube.com/watch?v=Rd69iqc2hz0",,
"CE",,,"Vendredi 17","18h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Bretelle & Garance (a capella ou presque)","ch.fr",,,,,,,,,,
"JB",,,"Vendredi 17","20h","L'escale","Saint-Saturnin","0 €","c",,"Syl","blues",,,,,,,,,,
"MG",,,"Vendredi 17","18h45","Place de l'église","Champagné","0 €","c",,"Gangstar fanfare","swing chanson","Arokana","pop-rock","Amusiquons-nous","école de musique",,,"https://www.youtube.com/watch?v=CJI10V3EoeI","https://www.youtube.com/watch?v=t2JShDMaIdc",,
"al",,,"Vendredi 17","19h","Plaine du Val’Rhonne","Moncé-en-Belin","0 € + repas moules/frites 5/10€ Infos et réservations : 02 43 42 29 48 ","c",,"Laurinne & Napkins","apéro concert",,,,,,,,,,
"al",,,"Vendredi 24","23h","chapiteau promenade Newton",,"0 €","c",,"Taxi Kebab","psyché désoriental",,,,,,,"https://www.youtube.com/watch?v=if09GodMR44",,,
"JB",,,"Vendredi 24","20h","Le Lapin Blanc",,"0 €","c",,"Éli' Jazz","jazz swing",,,,,,,,,,
"CE",,,"Vendredi 24","20h30","L'Épicerie sur le Zinc",,"tnc","c",,"Blues Trip","blues",,,,,,,,,,
"TU","43e Europajazz Festival",,"Vendredi 3","17h00","Abbaye Royale de l’Epau",,"18 à 24€","c",,"MOONDOG IN AFRICA",,"SYLVAIN RIFFLET & JON IRABAGON",,"SYLVAIN RIFFLET & BOJAN Z",,"SYLVAIN RIFFLET « AUX ANGES » + «DOOBLE» ELECTRO PROJECT",,"https://www.youtube.com/watch?v=IRG-RvfDQn8","https://www.youtube.com/watch?v=e9YyW7AoRao","https://www.youtube.com/watch?v=nFaPjfyr154",
"al",,,"Vendredi 3","20h","Chapelle de l'Oratoire",,"0 €","c",,"Abhisek Lahiri + Parthasarathi Mukherjee + Somdatta Chatterjee","mus. indienne",,,,,,,"https://www.youtube.com/watch?v=CfKHlN7SaQ8",,,
"JB",,,"Vendredi 3","20h","Le Lapin Blanc",,"0 €","c",,"Manu K","chanteur à guitare",,,,,,,,,,
"MG","Festival Balayvré sur le Zinc","festival folk par Adamada","Vendredi 3","20h","L'Épicerie sur le Zinc","Le Mans","8€ sur inscription","c",,"Emmanuelle Bouthillier solo","mus. Bretoquébécoise","LE BOEUF «dézingué»",,,,,,"https://www.youtube.com/watch?v=kLmX1duw82I",,,
"MG",,,"Samedi 18","19h","Parc Jean du Bellay","Yvré-l'Évêque","0 €","c",,"Le Baluche des complices de M. Larsène","guinguette, bal populaire pas comme les autres",,,,,,,,,,
"CE",,,"Mercredi 1","20h","L'Épicerie sur le Zinc",,"0 €","c",,"Boeuf Bal Folk",,,,,,,,,,,
"JB",,,"Dimanche 12","16h","Guinguette de la Gèmerie","Arnage","0 €","sv","Contes de Grimm","Maryse","contes",,,,,,,,,,
"TU",,,"Dimanche 12","21h","Théâtre de l’Acthalia",,"15 à 18€","sv","La promesse de l'aube","Franck Desmedt","th.",,,,,,,,,,
"al","Le Mans fait son Cirque",,"Dimanche 19","17h","chapiteau promenade Newton",,"0 €","sv","Les brulûres","Cie Punto y trazo","cirque dès 10 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/les-brulures-2/",,,
"al","Le Mans fait son Cirque",,"Dimanche 19","18h30","chapiteau promenade Newton",,"4/8€ ","sv","Ocho","Cirque Baraka","cirque dès 5 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/ocho/",,,
"al","Les Escapades","Balade festive culturelle et gourmande","Dimanche 19","9h30 et 10h30","Rue du Gué","Teloché","2€ + repas 8/15€ sur réservation 02 43 42 29 48 ","sv",,,,,,,,,,,,,
"al",,,"Dimanche 19","17h","Théâtre de Chaoué","Allonnes","prix libre","sv","Dans la joie et la bonne humeur (ou Comment Bruno a cultivé un helicobacter pylori)","Atelier amateur du théâtre de Chaoué","th. dés 12 ans",,,,,,,,,,
"al","Le Mans fait son Cirque",,"Dimanche 26","14h","chapiteau promenade Newton",,"0 €","sv","Cabaret en Piste","Etudiants circassiens","cirque tt public",,,,,,,,,,
"al","Le Mans fait son Cirque",,"Dimanche 26","19h","chapiteau promenade Newton",,"9/12€","sv","Terces","Cirque Ici","cirque dès 7 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/terces/",,,
"al","Le Mans fait son Cirque",,"Dimanche 26","19h45","chapiteau promenade Newton",,"4/8€","sv","Pandax","Cirque La Cie","cirque dès 9 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/pandax/",,,
"al","Le Mans fait son Cirque",,"Dimanche 26","21h15","chapiteau promenade Newton",,"4/8€","sv","Foutoir Céleste","Cirque Exalté","cirque dès 5 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/foutoir-celeste/",,,
"al","Le Mans fait son Cirque",,"Dimanche 26","15h","Cité du cirque",,"4/8€","sv","De bonnes raisons","La Volte Cirque","cirque dès 7 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/de-bonnes-raisons/",,,
"al","Le Mans fait son Cirque",,"Dimanche 26","15h","Gymnase A. Fournier",,"4/8€","sv","La Mêlée","Cie 220 Vols","cirque dès 6 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/la-melee/",,,
"al","Le Mans fait son Cirque",,"Dimanche 26","11h","Ile promenade Newton",,"4/8€","sv","L'Empreinte","Cie L'Attraction Céleste","cirque dès 10 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/lempreinte/",,,
"MG",,,"Dimanche 26","16h","L'Alambik MJC Ronceray","Le Mans","4/6€","sv","Normal.e.s","Cie Alcyone","théâtre amateur",,,,,,,,,,
"al","Le Mans fait son Cirque",,"Dimanche 26","11h","promenade Newton",,"0 €","sv","Bourask","Frigo Collectif","cirque tt public",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/cabaret-en-piste/",,,
"al","Le Mans fait son Cirque",,"Dimanche 26","16h","promenade Newton",,"0 €","sv","Topdown","La Triochka","cirque tt public",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/topdown-2/",,,
"al","Le Mans fait son Cirque",,"Dimanche 26","16h30","promenade Newton",,"0 €","sv","La bande à Tyrex","Collectif La bande à Tyrex","sp. tt public",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/la-bande-a-tyrex/",,,
"al","Le Mans fait son Cirque",,"Dimanche 26","18h","promenade Newton",,"0 €","sv","En attendant le grand soir","Cie Le doux supplice","cirque dès 7 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/en-attendant-le-grand-soir/",,,
"al","Le Mans fait son Cirque",,"Dimanche 26","20h","Promenade Newton",,"0 €","sv","La réconciliation","Collectif Martine à la Plage","cirque dès 7 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/la-reconciliation-2/",,,
"JB",,,"Dimanche 5","14h30","Le Pâtis",,"20 €","sv","Jeu de dames ","LF Productions","sp. humour",,,,,,,,,,
