,"festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"AL & JB","Crépuscules soniques","festival house techno & lives - 3 scènes","Samedi 9","16h-6h","Vaurouzé - Université",,"10/15€ (0€ avant 20h)","c",,"Dyen + Tauceti + Unklevon + Koszmar + Oss Records + Collectif Clafoutis",,"Zaltan Antinote + Martin Kling + Aliana + Sam Van Der Toure",,"Univers K + Nomisluap + Roy Vision",,"A Travers + Hotel Bary + La Fourche à Tigre + Bande Passante...",,,,,
"JLB","Festival Musica","spectacle vivant","Samedi 9",,"Parc de Tessé",,"10 à 50€","sv","Musica",,"Musique Classique",,,,,,,,,,
"AL","Les Veillées","Arts de rue","Samedi 9","19h30","Parc Gabriel Paillereau","Allonnes","0 €","sv","HLM en pagaille !","Label Pagaille Cie et l'équipe artistique de Chaoué","spectacle",,,,,,,,,,
"CE",,,"Vendredi 1","20h30","L'Épicerie sur le Zinc",,"au chapeau","c",,"Celtic Road's","mus celtique",,,,,,,,,,
"JB",,,"Vendredi 1","21h30","le Café de la Gare","Chenu","0 €","c",,"Kitty's not dead","garage rock ferroviaire",,,,,,,,,,
"AL","Festival Pop au parc","concerts","Vendredi 1","21h","Parc du château","Sablé-sur-Sarthe","0 €","c",,"Kalika","musiques actuelles","Cimafunk","musique cubaine","scopitone & Cie","Dj set électrique",,,,,,
"AL","Festival Plein Champ","Arts urbains","Vendredi 1","16h - 1h","Parc Gué de Maulny",,"0 €","c",,"Mars Massive","Electro/dubstep","Danitsa","Hip hop/soul","Jewel usain","hip-hop","Atili","Dub/reggae",,,,
"JB",,,"Vendredi 15","12h-2h","Maison Albert","Louplande","5 €","c",,"Dj Zebra",,"Dj Prosper",,"dj social club",,"guest all day long",,,,,
"JLB","Les Soirs d'été","spectacle vivant","Vendredi 15","20h","Ecole Maternelle des Maillets",,"0 €","sv","Appuie Toi sur Moi","Cirquons Flex","Cirque Endémique de la Réunion",,,,,,,"www.cirquonsflex.com",,,
"JLB","Les Soirs d'été","spectacle vivant","Vendredi 15","21h","Ecole Maternelle des Maillets",,"0 €","sv","A(AP)TRIDES","Cie La Buse","Théâtre de rue",,,,,,,"https://www.facebook.com/Compagnie-LA-BUSE",,,
"JLB","Les Soirs d'été","spectacle vivant","Vendredi 15","18h30","Maison de quartier Georges Moustaki",,"0 €","sv","Movais Elèves","Compagnie Sécateur","Théâtre dessins dès 10 ans",,,,,,,"https://www.facebook.com/ciesecateur",,,
"JB",,,"Vendredi 22","20h","Le Lapin Blanc",,"0 €","c",,"Eli' Jazz","jazz swing",,,,,,,,,,
"JB",,,"Vendredi 22","21h","Le Zoo",,"au chapeau","c",,"Azuryte","électro folk",,,,,,,,,,
"MG","Fest'Yvré","festival musiques actuelles amateur par Ama Production 72","Vendredi 22","19h","Parc Jean du Bellay","Yvré-l'Évêque","0 €","c",,"Sea's friend","folk country","Bonhome Tétard + invités","chanson française",,,,,,,,
"JLB","Les Soirs d'été","spectacle vivant","Vendredi 22","19h15","Maison pour tous Jean Moulin",,"0 €","sv","Couverture","Compagnie Ecart","Théâtre d'objet dansé",,,,,,,"https://cieecart.wixsite.com/couverture",,,
"JLB","Les Soirs d'été","spectacle vivant","Vendredi 22","20h","Maison pour tous Jean Moulin",,"0 €","sv","Voyages Capel","Cie DBK","Arts de la rue",,,,,,,"https://fr-fr.facebook.com/compagnie.dbk",,,
"JLB","Les Soirs d'été","spectacle vivant","Vendredi 22","21h","Maison pour tous Jean Moulin",,"0 €","sv","Les Petits Duos","Compagnie 29x27","Danse autour de table de bistrot",,,,,,,"https://www.29x27.com",,,
"AL","La belle virée","Arts de rue","Vendredi 22","18h30",,"Chemiré-le-Gaudin","au chapeau","sv","Brother Kawa","Cie Ernesto Barytoni","tour du monde musical",,,,,,,,,,
"AL","La belle virée","Arts de rue","Vendredi 22","21h",,"Chemiré-le-Gaudin","au chapeau","sv","La volonté des cuisses","Collectif Pourquoi pas","cirque vivant acrobatique et musical",,,,,,,,,,
"JB",,,"Vendredi 29","20h","Le Lapin Blanc",,"0 €","c",,"Syl","blues",,,,,,,,,,
"JLB","Les Soirs d'été","spectacle vivant","Vendredi 29","18h30","Parc Théodore Monod",,"0 €","sv","L'Hippodrome De Poche","Cie Lez'Arts vers","Courses Hippiques de poche dès 6 ans",,,,,,,"www.lezartsvers.com",,,
"JLB","Les Soirs d'été","spectacle vivant","Vendredi 29","20h","Parc Théodore Monod",,"0 €","sv","Boate/Odyssée Migratoire","Cirque Rouage","Cirque en rue",,,,,,,"https://www.cirque-rouages.com",,,
"JLB","Les Soirs d'été","spectacle vivant","Vendredi 29","21h","Parc Théodore Monod",,"0 €","sv","Trop Près du Mur","Typhus Bronx","Clown Caustique",,,,,,,"www.artenprod.fr/typhus-bronx/",,,
"JLB","Les Soirs d'été","spectacle vivant","Vendredi 29","22h30","Parc Théodore Monod",,"0 €","sv","La Fameuse Invasion Des Ours En Sicile","Lorenzo Mattotti","Film",,,,,,,,,,
"CE","Le Son des Cuivres","Musiques cuivrées","Vendredi 8","18h à 1h","Espace Saugonna","Mamers","0€/15 à 20€","c",,"Jazz Combo Box",,"Fred Pallem + Funky style brass",,,,,,,,,
"JB",,,"Vendredi 8","20h","Le Lapin Blanc",,"0 €","c",,"Azuryte","électro folk",,,,,,,,,,
"JLB","Festival Musica","spectacle vivant","Vendredi 8",,"Parc de Tessé",,"10 à 50€","c",,"Musica","Musique Classique",,,,,,,,,,
"JLB","Les Soirs d'été","spectacle vivant","Vendredi 8","18h30","Université Amphi Extérieur Bât. Lettres",,"0 €","sv","Le Carnaval des Animaux","Pianotoctambule","Piano et Récitant.e dès 6 ans",,,,,,,"https://www.pianoctambule.com",,,
"JLB","Les Soirs d'été","spectacle vivant","Vendredi 8","20h","Université Amphi Extérieur Bât. Lettres",,"0 €","sv","La Peur au Ventre/Solo pour Fils de Cascadeur","Compagnie Toi D'Abord","Cascade à mini moto",,,,,,,"https://cietoidabord.wixsite.com",,,
"JLB","Les Soirs d'été","spectacle vivant","Vendredi 8","21h","Université Amphi Extérieur Bât. Lettres",,"0 €","sv","Surprise",,,,,,,,,,,,
