"festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","troupe","style_spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4"
,,"Vendredi 28","20h30","Théâtre de Chaoué","Allonnes","au chapeau","spectacle vivant","Projet Crusoé","Cie Les loups à poche","théâtre",,,,,,,,
,,"Vendredi 14","19h","Le Val'Rhonne","Moncé-en-Belin",0 €,"concert",,,,"Sandra Caroll Jazz Trio","apéro concert",,,,,,
,,"Vendredi 28","20h","Le Val'Rhonne","Moncé-en-Belin",5 €,"spectacle vivant","Now","Cie Les tombés de la lune","théâtre et arts numériques",,,,,,,,
,,"Samedi 8","19h","Cirque Mimulus","Fresnay-sur-Sarthe","5/8€","concert",,,,"Cigany Mohawk","punk","Ernesto Moralles trio","swing",,,,
,,"Jeudi 6","21h00","L'Acthalia","Le Mans","15/20€","spectacle vivant","Effets secondaires","Cie Achtalia","théâtre",,,,,,,,
,,"Vendredi 7","21h00","L'Acthalia","Le Mans","15/20€","spectacle vivant","Effets secondaires","Cie Achtalia","théâtre",,,,,,,,
,,"Samedi 8","21h00","L'Acthalia","Le Mans","15/20€","spectacle vivant","Effets secondaires","Cie Achtalia","théâtre",,,,,,,,
,,"Dimanche 9","17h00","L'Acthalia","Le Mans","15/20€","spectacle vivant","Effets secondaires","Cie Achtalia","théâtre",,,,,,,,
,,"Jeudi 13","21h00","L'Acthalia","Le Mans","15/20€","spectacle vivant","Effets secondaires","Cie Achtalia","théâtre",,,,,,,,
,,"Vendredi 14","21h00","L'Acthalia","Le Mans","15/20€","spectacle vivant","Effets secondaires","Cie Achtalia","théâtre",,,,,,,,
,,"Samedi 15","21h00","L'Acthalia","Le Mans","15/20€","spectacle vivant","Effets secondaires","Cie Achtalia","théâtre",,,,,,,,
,,"Dimanche 16","17h","L'Acthalia","Le Mans","15/20€","spectacle vivant","Effets secondaires","Cie Achtalia","théâtre",,,,,,,,
,,"Jeudi 20","21h00","L'Acthalia","Le Mans","15/20€","spectacle vivant","Effets secondaires","Cie Achtalia","théâtre",,,,,,,,
,,"Vendredi 21","21h00","L'Acthalia","Le Mans","15/20€","spectacle vivant","Effets secondaires","Cie Achtalia","théâtre",,,,,,,,
,,"Samedi 22","21h00","L'Acthalia","Le Mans","15/20€","spectacle vivant","Effets secondaires","Cie Achtalia","théâtre",,,,,,,,
,,"Dimanche 23","17h00","L'Acthalia","Le Mans","15/20€","spectacle vivant","Effets secondaires","Cie Achtalia","théâtre",,,,,,,,
,,"Samedi 22","20h30","Espace Vègre et Champagne","Brûlon",14 €,"spectacle vivant","Petits duos de la nuit","Cie 29.27","Cabaret drolement poétique",,,,,,,,
"Le Mans fait son cirque",,"Samedi 15","20h30","Cité du cirque","Le Mans","4/8€","spectacle vivant","Soirée jonglées : Yokaï Kemame + la réconciliation","Cie Defracto + Collectif Martine à la plage","cirque",,,,,,,,
"Le Mans fait son cirque",,"Dimanche 16","16h30","Cité du cirque","Le Mans","4/8€","spectacle vivant","Soirée jonglées : Yokaï Kemame + la réconciliation","Cie Defracto + Collectif Martine à la plage","cirque",,,,,,,,
"Le Mans fait son cirque",,"Jeudi 6","20h30","PCC","Le Mans","4/8€","spectacle vivant","Open cage","Cie Hors Surface",,,,,,,,,
"Le Mans fait son cirque",,"Samedi 29","20h30","Salle des concerts","Le Mans","4/8€","spectacle vivant","Ogre","La June cie",,,,,,,,,
"Le Mans fait son cirque",,"Dimanche 30","16h30","Salle des concerts","Le Mans","4/8€","spectacle vivant","Ogre","La June cie",,,,,,,,,
,,"Jeudi 20","20h30","Le Lodge","Le Mans",0 €,"concert",,,,"ZOUJ","cover soul, pop, blues",,,,,,
,,"Samedi 1","11h","La Fonderie","Le Mans",0 €,"concert",,,,"ENSEMBLE OFFRANDES","musique classique",,,,,,
,,"Vendredi 14","20h00","L'Oasis",,"25 à 31€","concert",,,,"TêTES RAIDES","ch. fr.",,,,,,
,,"Mardi 18","18h30","Les Saulnières",,"5/10€","concert",,,,"PEP'S LEMON","pop jazz classique",,,,,,
,,"Jeudi 20","20h30","Esplanade de la Maison des Arts","Allonnes","5 à 11€","concert",,,,"FLORENT MARCHET","ch. fr.",,,,,,
,,"Vendredi 21","20h30","Salle Jean Carmet","Allonnes","8 à 12€ (0€ carte Superforma)","concert",,,,"PAGAN POETRY - hommage à Nathalie Réaux","pop baroque",,,,,,
"Le Mans Sonore","biennale internationale du son","Samedi 22","14h, 16h & 18h","Le Mans Innovation (2ème étage), 57 Bd Demorieux",,5 €,"concert",,,,"APOLLO NOIR","concert de synthés modulaires en fauteuils sonores immersifs",,,,,,
"Le Mans Sonore","biennale internationale du son","Dimanche 23","14h, 16h & 18h","Le Mans Innovation (2ème étage), 57 Bd Demorieux",,5 €,"concert",,,,"APOLLO NOIR","concert de synthés modulaires en fauteuils sonores immersifs",,,,,,
"Le Mans Sonore","biennale internationale du son","Samedi 22","20h30","Palais des Congrès",,"36,80 à 41,80","concert",,,,"BENJAMIN BIOLAY","ch. fr.",,,,,,
"Le Mans Sonore","biennale internationale du son","Jeudi 27","18h & 19h30","Centre de transfert de technologie, 20 rue de Thalès de Milet",,"5/10€","concert",,,,"MAUD GEFFRAY - Still Life","concert en son 3D",,,,,,
"Le Mans Sonore","biennale internationale du son","Vendredi 28","16h, 18h & 20h","Centre de transfert de technologie, 20 rue de Thalès de Milet",,"5/10€","concert",,,,"MAUD GEFFRAY - Still Life","concert en son 3D",,,,,,
"Le Mans Sonore","biennale internationale du son","Jeudi 27","20h30","Palais des Congrès",,"5/10€","concert",,,,"FABRIZIO RAT & ETIENNE JAUMET","piano & synthés modulaires",,,,,,
"Le Mans Sonore","biennale internationale du son","Samedi 29","19h00","Maison de la Biennale (théâtre Paul Scarron)",,0 €,"concert",,,,"ATOEM","live électro",,,,,,
"Le Mans Sonore","biennale internationale du son","Vendredi 28","20h30","Salle Jean Carmet","Allonnes","2,50/6€","concert",,,,"VIS INSITA ","performance musicale, visuelle & cinétique",,,,,,
"Le Mans Sonore","biennale internationale du son","Samedi 29","21h00","Les Quinconces",,"8 à 12€   ","concert",,,,"THYLACINE","live électro",,,,,,
"Ed Banger Party",,"Samedi 29","23h00","L'Oasis ",,"18 à 24€","concert",,,,"LOUISE CHEN + MYD + BUSY P + BREAKBOT & IRFANE","dj set & live électro",,,,,,
"Moth Frequency & Le Mans Sonore",,"Vendredi 28","21h00","MJC Prévert",,"prix libre","concert",,,,"CIGVË feat. RICHARD COMTE","drone","SOLINCA","ambient",,,,
,,"Dimanche 23","15h","L'Alambik ",,"au chapeau","spectacle vivant","Tournoi d'improvisation théâtrale #2","MIAM",,,,,,,,,
,,"Vendredi 28","20h30","L'Éolienne","Arnage","10 à 20€","concert",,,,"ALEXIS HK","ch. fr.",,,,,,
"Le Mans Sonore","biennale internationale du son","Samedi 22","20h30","Les Quinconces",,12 €,"concert",,,,"LEE RANALDO & RAUL REFREE","noise folk électronique","WINTER FAMILY","mélancolie électronique","FÉLIX KUBIN","new wave burlesque","AGAIN THE SUNSET","poutre musicale performative"
"Le Mans Sonore","biennale internationale du son","Dimanche 23","15h","Les Quinconces",,0 €,"concert",,,,"TACHYCARDIE","obsession rythmique","MARC MELIÀ","prophète synthétique","PUCE MOMENT","laboratoire sonique",,
"Le Mans Sonore","biennale internationale du son","Samedi 22","19h00","Maison de la Biennale (théâtre Paul Scarron)",,0 €,"concert",,,,"MARC BARON - Solo",,,,,,,
"Le Mans Sonore","biennale internationale du son","Samedi 22","14h, 16h & 18h","EVE - Scène universitaire",,0 €,"spectacle vivant","Signal : quelques instants avant le silence","Cie Organic Orchestra","performance pluridisciplinaire",,,,,,,,
"Le Mans Sonore","biennale internationale du son","Dimanche 23","14h, 16h & 18h","EVE - Scène universitaire",,0 €,"spectacle vivant","Signal : quelques instants avant le silence","Cie Organic Orchestra","performance pluridisciplinaire",,,,,,,,
"Le Mans Sonore","biennale internationale du son","Lundi 24","18h30","EVE - Scène universitaire",,0 €,"spectacle vivant","Signal : quelques instants avant le silence","Cie Organic Orchestra","performance pluridisciplinaire",,,,,,,,
,,"Vendredi 14","20h30","Le Lézard",,"au chapeau","concert",,,,"LLAMAME LA MUERTE","noise rock psyché","TROTSKY NAUTIQUE","ch. lo-fi pop",,,,
,,"Vendredi 28","20h30","Le Lézard",,"au chapeau","concert",,,,"PORTRON PORTRON LOPEZ","psych garage rock tropical",,,,,,
,,"Samedi 15","20h30","Brasserie Septante-Deux",,"prix libre","concert",,,,"ANNA","pop lo-fi","13th HOLE","rock indie noise",,,,
"Le Mans Sonore","biennale internationale du son","Samedi 22","16h","Maison de la Biennale (théâtre Paul Scarron)",,0 €,"spectacle vivant","LabOrigins","Marie-Odile Monchicourt","spectacle scientifique",,,,,,,,
"Le Mans Sonore","biennale internationale du son","Jeudi 27","19h00","Eve - Scène universitaire",,0 €,"concert",,,,"CODEX AMPHIBIA","ciné-concert",,,,,,
,,"Vendredi 21","18h","L'Alambik ",,"n.c","spectacle vivant","Petites traces","Cie Nomorpa",,,,,,"...",,,
"Eclipse Festival",,"Jeudi 13","18h30","Eve - Scène universitaire",," 3/5","concert",,,,"BURP","rock soul funk","HEIDI","ch. soul folk",,,,
,,"Samedi 15","20h","Le Lapin Blanc",,0 €,"concert",,,,"SPILOVA","jazz manouche swing",,,,,,
,,"Vendredi 21","20h","Le Lapin Blanc",,0 €,"concert",,,,"JOHN MAINE","pop rock cover",,,,,,
,,"Vendredi 28","20h","Le Lapin Blanc",,0 €,"concert",,,,"ELIE JAZZ","jazz ",,,,,,
"Blues Spirit",,"Jeudi 6","20h","Le Zoo",,0 €,"concert",,,,"Jam nouvel an","blues",,,,,,
,,"Vendredi 7","20h30","L'épicerie sur le zinc",,0 €,"concert",,,,"Liviu présente Octavius avec Mathieu El Fassi ","musique classique & tsigane",,,,,,
,,"Jeudi 13","19h00","L'épicerie sur le zinc",,0 €,"concert",,,,"Ceinture et Bretelles","jazz",,,,,,
,,"Vendredi 14","20h30","L'épicerie sur le zinc",,0 €,"concert",,,,"Sea’s Friend et Harley McNeil","folk country blues",,,,,,
,,"Jeudi 20","19h00","L'épicerie sur le zinc",,0 €,"concert",,,,"Rendez-vous ","rock folk cover",,,,,,
,,"Vendredi 21","20h30","L'épicerie sur le zinc",,0 €,"concert",,,,"Celtic Roads","ch. folk",,,,,,
,,"Vendredi 28","20h30","L'épicerie sur le zinc",,0 €,"concert",,,,"Puissance 4000 et Kunhea","Rap",,,,,,
