initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
zz,,,Samedi 16,20h30,Brasserie Septante Deux,,prix libre,c,,sea friends,folk,,la reine garçon,folk chanson/fontainebleau,,,,,,,,,,
ce,Sur les bords de la Méditérrannée,,Samedi 16,20h,Centre mus.Roussigny,Saint-Ulphace,10 €,c,,Le quartet Diakamos,mus.greco-turque,,,,,,,,,,,,,
tu,,,Samedi 16,14h,Chapelle Sainte Cécile,Flée,0 €,sv,Concert des muses,,,,,,,,,,,,,,,
zz,Rentrée du Plongeoir,,Samedi 16,20h,Chapiteau promenade Newton,,0 €,sv,Masacrade,cie Marcel et ses drôles de femmes,voltige aérienne,With or without you,Ésacto’Lido promotion 2020-2023,cirque,,,,,,,,,,
tu,,,Samedi 16,19h,Guinguette de la Gèmerie,Arnage,0 €,c,,John Maine,rock cover,,,,,,,,,,,,,
zz,,,Samedi 16,18h30,Guinguette des Tanneries,,au chapeau,c,,Si sénior,flamenco rock,,,,,,,,,,,,,
at,,,Samedi 16,20h30,L'Envol,La Bazoge,7 à 15€,sv,Gil & Ben (ré)unis,,humour,,,,,,,,,,,,,
zz,Rentrée du Plongeoir,,Samedi 16,19h,le jardin du Plongeoir,,0 €,sv,Phusis,Muchmuche Company,"jonglage, land art",,,,,,,,,,,,,
tu,,,Samedi 16,21h,Le Zoo,,au chapeau,c,,Les mots d'mouchoir,ch. fr.,,,,,,,,,,,,,
at,,,Samedi 16,16h & 17h,Les Quinconces,,5 à 10€,sv,Mon grand oncle,Groupe Déjà,théâtre,,,,,,,,,,,,,
at,,,Samedi 16,18h,Parking aérien Les Qinconces,,5 à 10€,sv,Chantier! La tournée du coq,Les urbaindigènes,théâtre de rue,,,,,,,,,,,,,
ce,,,Samedi 16,19h30,Salle Polyvalente,Teillé,tnc,c,,Sandra Caroll & Nicolas Macsana,Beatles cover,,,,,,,,,,,,,
tu,,,Samedi 2,19h,Guinguette de la Gèmerie,Arnage,0 €,c,,BRYAN RIGGS TRIO,folk blues,,,,,,,,,,,,,
zz,Fièvre du samedi matin,,Samedi 2,11h,La Fonderie,,0 €,c,,Ensembles Offrandes,musique classique,,,,,,,,,,,,,
zz,,,Samedi 2,20h,La Fonderie,,prix libre,sv,L' Histoire de M. Suzuki,Ensembles Offrandes,CRÉATION musique classique,,,,,,,,,,,,,
tu,,,Samedi 2,21h,Le Zoo,,au chapeau,c,,Eliott,folk/blues,,,,,,,,,,,,,
zz,,,Samedi 2,19h,Les Allumés du jazz,,0 €,c,,violetazul,mus. latino américaines,,,,,,,,,,,,,
