initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
bl,,,Samedi 20,20h30,Salle Polyvalente,Montfort-le-Gesnois,5 à 10€,sv,Bob et moi,,théâtre,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Samedi 20,20h30,Théâtre Paul Scarron,,10 à 18€,sv,Kessel La liberté a tout prix,Franck Desmedt,Monologue,,,,,,,,,,,,,
jlb,,,Samedi 27,21h,Comédie Le Mans,,23€,sv,Fille a papa,Philippine Delaire,One Woman Show,,,,,,,,,,,,,
zz,,,Samedi 27,10h30 & 16h30,Le Chapiteau du plongeoir,,5€,sv,Le petit lac,Cie L'Eolienne,cirque jeune public à partir de 3 ans,,,,,,,,,,,,,
zz,,,Samedi 27,11h30 & 17h30,Le Chapiteau du plongeoir,,5€,sv,Bestiaire,Cie BAL - Jeanne Mordoj,cirque jeune public à partir de 6 ans,,,,,,,,,,,,,
jlb,,,Samedi 6,21h,Comédie Le Mans,,25€,sv,Le syndrome de la page vide,Arnaud Cosson,One Man Show,,,,,,,,,,,,,
zz,,,Samedi 6,20h30,L’Éolienne,Arnage,10 à 20€,sv,Bienvenue au Bel Automne,Cie Cavalcade,théâtre comique,,,,,,,,,,,,,
zz,,,Samedi 6,20h,La Fonderie,,0€,sv,Mémoire vive : Réinventions d’après les lieder de Robert Schumann,Ensemble Offrandes,mus. classique,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Samedi 6,20h30,Salle Besnardeau,Sillé-le-Guillaume,10 à 18€,sv,Toc Toc,Théâtre Acthalia,,,,,,,,,,,,,,
jlb,,,Samedi 6,20h30,salle communale,Lucé-sous-Ballon,tnc,sv,dernières répétitions,Les bolides de Mulsanne,Théâtre,,,,,,,,,,,,,
bl,,,Samedi 6,10h30,Salle Coppélia,La Flèche,4€,sv,Jeu,Cie Kan La Dériv',marionnettes,,,,,,,,,,,,,
bl,,,Samedi 6,15h30 & 20h30,Salle des fêtes,Auvers-le-Hamon,8 à 13€,sv,Jazz Magic,Bizzard Concept,cartomagie et musique,,,,,,,,,,,,,
zz,,,Samedi 6,20h30,Salle des fêtes,Mézières-sur-Ponthouin,7€,sv,A part ça ... tout va mal !,Cie l'Art-Scène,théâtre comique,,,,,,,,,,,,,
jlb,,,Samedi 6,20h30,Salle des fêtes,Mézières-sur-Ponthouin,7€,sv,A part ça,Cie l'Art-scène,Théâtre,,,,,,,,,,,,,
pl,,,Samedi 6,18h,Théâtre de Chaoué,Allonnes,5€,sv,La maison aux cactus,Cie Jamais 203,,,,,,,,,,,,,,
jlb,,,Samedi 6,18h30,Théâtre du Passeur,,8 à 10€,sv,Rêveries,,,,,,,,,,,,,,,
jlb,,,Vendredi 12,21h,Comédie Le Mans,,20€,sv,La connerie est une énergie renouvelable,Jean Patrick Douillon,Seul en scène,,,,,,,,,,,,,
bl,La Chapelle fait son festival,,Vendredi 12,20h30,Espace culturel L'Orée du Bois,La Chapelle-Saint-Aubin,8 à 15€,sv,Brigitte Fossey,Lecture,,,,,,,,,,,,,,
zz,Sortie de résidence au Plongeoir,,Vendredi 12,18h30,La cité du cirque,,0€,sv,,Cie La Générale Posthume,,,,,,,,,,,,,,
zz,"Festival ""au Pays du Môme""",,Vendredi 12,18h45,Le Val’Rhonne,Moncé-en-Belin,4 à 6€,sv,Fille ou garçon,Cie Tilt,spectacle musical,,,,,,,,,,,,,
jlb,,,Vendredi 12,10h,Parc de la Gironde,Coulaines,"5,40 à 7,5€",sv,Wassilissa,,Cirque,,,,,,,,,,,,,
zz,,,Vendredi 12,20h30,salle A. Prilleux,Champagné,3 à 10€,sv,Tout feu tout flemme,,théâtre comédie,,,,,,,,,,,,,
jlb,,,Vendredi 19,21h,Comédie Le Mans,,complet,sv,"Marseille(s), je vous offre un vers",Nicolle Ferroni,Seul en scène,,,,,,,,,,,,,
jlb,,,Vendredi 19,20h30,Théâtre de la Bertoche,,10€,sv,Jojo au bord du monde,Stéphane Jaubertie,,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Vendredi 19,20h30,Théâtre Paul Scarron,,10 à 18€,sv,Kessel La liberté a tout prix,Franck Desmedt,Monologue,,,,,,,,,,,,,
jlb,,,Vendredi 26,21h,Comédie Le Mans,,23€,sv,Fille a papa,Philippine Delaire,One Woman Show,,,,,,,,,,,,,
zz,Sortie de résidence au Plongeoir,,Vendredi 26,18h30,La cité du cirque,,0€,sv,,Cie Daraomaï,cirque,,,,,,,,,,,,,
zz,Sortie de résidence au Plongeoir,,Vendredi 5,18h30,chapiteau parc de l'épine,,0€,sv,,Cirque Baraka,,,,,,,,,,,,,,
jlb,,,Vendredi 5,21h,Comédie Le Mans,,25€,sv,Denise Jardinière vous invite chez elle,,Seul en scène,,,,,,,,,,,,,
bl,,,Vendredi 5,20h30,Espace Scélia,Sargé-lès-le-Mans,10 à 13€,sv,La Veillée,Cie Opus,théâtre,,,,,,,,,,,,,
zz,Sortie de résidence au Plongeoir,,Vendredi 5,18h30,Le Chapiteau,,0€,sv,,Cie Le Jardin des Délices,cirque,,,,,,,,,,,,,
bl,,,Vendredi 5,15h30 & 20h30,Salle Polyvalente,Parcé-sur-Sarthe,8 à 13€,sv,Jazz Magic,Bizzard Concept,cartomagie et musique,,,,,,,,,,,,,
jlb,,,Vendredi 5,20h30,Théâtre du Passeur,,8 à 10€,sv,Rêveries,,,,,,,,,,,,,,,
zz,,,Samedi 20,16h,Les Allumés du Jazz,,0€,c,,Koudour en duo,mélange de chants trad turques & jazz,,,,,,,,,,,,,
tu,Superforma,,Mercredi 3,20h,L'Oasis,,24 à 31€,c,,Nuit incolore,folk pop,,LÉMAN,pop,,,,,,,,,,
tu,Superforma,,Vendredi 5,20h30,Les Saulnières ,,18 à 25€,c,,ZED YUN PAVAROTTI,pop,,THE DOUG,pop,,,,,,,,,,
tu,Connexions Festival,,Samedi 13,20h,L'Oasis,,21 à 28€,c,,FAVÉ + linf,hip-hop,,,,,,,,,,,,,
