date|event
17|▫ **Club lecture par Marie-Anne Cornuel et Justine Boulet**, Bibliothèque Universitaire,  12h, 0€

17|▫ **"Oh Mer"** La perenne Compagnie *(th.)*, Espace Henri Salvador, Coulaines,  19h, 5,5 à 8€

17|▫ Théâtre de l’Acthalia // **"Un parfum de vérité "** Création Acthalia *(th.)*, Théâtre Paul Scarron,  20h30, 12 à 15€

17|▫ **"Art dans le vide"**  *(dj set + expo)*, Blue Zinc,  20h30, au chapeau

17|▫ **"L'Iliade"** Cie Thespis *(th.)*, Espace culturel L'Orée du Bois, La Chapelle-Saint-Aubin,  20h30, 4 à 10€

17|▫ **"Le jeu de l'amour et du hasard"** Collectif Pièce Détachée *(th.)*, Théâtre de l’Écluse,  20h30, 10€ résa sms au 07 81 84 35 62

17|▫ **"Rêves"** Cirque ukrainien Inshi, Salle Coppélia, La Flèche,  20h30, 7 à 15€

18|▫ Hivernal'Rock #9 *(festvial rock "made in sarthe")* // **THE BLUE  CHEESE**** + CANNON FODDER**** + PAS LE VENDREDI**** + POLITIC LOVERS**, L'Espace du Narais, Saint-Mars-la-Brière,  18h, 5€

18|▫ **PEU ABRANTES** *(jazz brésilien)*, Boire du bon, Saint-Pavace,  20h, 15€

18|▫ **SWEET COVES**, Bistro Broc Café, Changé,  20h30, au chapeau

18|▫ Superforma fête ses 10 ans // **CHARLÉLIE COUTURE ** *(ch. fr)*** + ODA** *(folk)*, Salle Jean Carmet, Allonnes,  20h30, 20 à 30€

18|▫ **NAMELESS**, Le Zoo,  21h, 0€

18|▫ BLUE DOG: CARITATEUF 2024 *(techno all night long)* // **JEAN TERECHKOVA + KOZMAR + BUNZEN + REITER**, L'Oasis,  23h, 10 (prévente) à 15€

18|▫ Théâtre de l’Acthalia // **"Un parfum de vérité "** Création Acthalia *(th.)*, Théâtre Paul Scarron,  20h30, 12 à 15€

18|▫ **Clément Corbiat** *(one man show )*, Blue Zinc,  20h30, au chapeau

18|▫ **"Le jeu de l'amour et du hasard"** Collectif Pièce Détachée *(th.)*, Théâtre de l’Écluse,  20h30, 10€ résa sms au 07 81 84 35 62

18|▫ **"Les candiratons"**  *(th. impro)*, Le Rabelais, Changé,  20h30, 8 à 12€

18|▫ **"Tais-toi François"** Tréteaux de Malestable *(th.)*, Salle Mélusine, Bonnétable,  21h, 5 à 8€

19|▫ **CONCERT D'ORCHESTRE** *(sympho'campus)*, Espace Scélia, Sargé-lès-le-Mans,  15h30, 10 à 13€

19|▫ ** Concert des orchestres de la musique municipale du mans**, Palais des Congrès,  16h, 0€

19|▫ **"Tais-toi François"** Tréteaux de Malestable *(th.)*, Salle Mélusine, Bonnétable,  15h, 5 à 8€

19|▫ **"A quelle heure on ment"** Les Joyeux de l'Escotais *(th.)*, La Castélorienne, Montval-sur-Loir,  16h, 4 à 8€

19|▫ Théâtre de l’Acthalia // **"Un parfum de vérité "** Création Acthalia *(th.)*, Théâtre Paul Scarron,  16h, 12 à 15€

21|▫ **Claire Morel** *(one woman show)*, Blue Zinc,  19h15, au chapeau

21|▫ **"Bob et moi"** Collectif Bajour *(th. musical)*, Eve scène universitaire,  20h30, 5 à 12€

22|▫ Tempo // ** Scène ouverte + jam**, Blue Zinc,  20h, au chapeau

22|▫ **LOUIS**, Bistro Broc Café, Changé,  20h30, au chapeau

22|▫ **LA FRANGE** *(folk/paris)*, Brasserie Septante Deux,  20h30, prix libre

23|▫ **THÉO ZIPPER EN CONCERT** *(3)*, Les Allumés du jazz,  19h, 0€

23|▫ **BIPOLAR CLUB** *(rock)*** + COLLECTIF VMC** *(dj set electro)*, Blue Zinc,  20h - 22h, au chapeau

23|▫ La nuit de la lecture // **CONCERT MUSIQUE DE CHAMBRE**, Bibliothèque universitaire,  20h30, 0€

23|▫ **PAMPLEMOUSSE** *(noise rock/la réunion)*** + DARIA** *(indie rockangers)*** + TURBO PANDA** *(emo punk noise/le snam)*, Le Barouf,  20h30, 0€

23|▫ Garage5 // **JOHANN MAZÉ** *(solo batterie)*, Le Lézard,  20h30, prix libre

23|▫ Superforma fête ses 10 ans // **IRREVERSIBLE ENTANGLEMENTS** *(free cosmic jazz)*** + KHAM MESLIEN TRIO** *(blues/jazz)*, Les Saulnières ,  20h30, 10 à 17€

23|▫ **"Le jeu de l'amour et du hasard"** Collectif Pièce Détachée *(th.)*, Théâtre de l’Écluse,  20h30, 10€ résa sms au 07 81 84 35 62

24|▫ **LES ENJOLIVEUSES** *(chanson fr)*** + TITO NABAT** *(ch. fr.)*, Le Val’Rhonne, Moncé-en-Belin,  19h, 0 à 10€

24|▫ **PAUL & FRIENDS** *(blues rock)*, L'Olivier,  19h30, 0€

24|▫ Salon De Musique // **MARIA KANAVAKI &  CHRISTOS PAVLIS** *(polyrythmies grecques)*, CPFI,  20h, prix libre

24|▫ **BURGER AIRPORT** *(funk jazz fusion)*, Le Pilier Rouge,  20h, au chapeau

24|▫ **BRUNO ET JACKY**, Bistro Broc Café, Changé,  20h30, au chapeau

24|▫ **ACID GRAS** *(garage punk)*, Blue Zinc,  20h30, au chapeau

24|▫ Superforma fête ses 10 ans // **THÉA** *(post pop)*, L'Alambik MJC Ronceray,  20h30, 7 à 14€

24|▫ **"Anonyme passager"**  *(monologue musical)*, Théâtre du Passeur,  10h30 & 14h30, 8 à 10€

24|▫ Sortie de résidence // **Cie Alta Gama** *(cirque, porté accrobatique)*, Cité du cirque,  20h, 0€

24|▫ **"L’inoubliable histoire de Juliette et de son Roméo"** Les Assoifées d'Azur *(th.)*, Théâtre de Chaoué, Allonnes,  20h, 5/8€ ou +

24|▫ **"Le jeu de l'amour et du hasard"** Collectif Pièce Détachée *(th.)*, Théâtre de l’Écluse,  20h30, 10€ résa sms au 07 81 84 35 62

24|▫ Théâtre de l’Acthalia // **"Un parfum de vérité "** Création Acthalia *(th.)*, Le Val de Vray, Saint-Saturnin,  20h30, 12 à 15€

24|▫ **"La pomme empoisonnée"** Pan ! La Cie *(th. à partir de 9 ans)*, Théâtre Épidaure, Bouloire,  20h30, 5 à 10€

25|▫ **ALIX LOGIACO TRIO** *(jazz)*, Boire du bon, Saint-Pavace,  20h, 15€

25|▫ Ma Région Vituose // ** Orchestre symphonique du perche saonois**, Centre Culturel Athéna, La Ferté-Bernard,  20h, tnc

25|▫ Superforma fête ses 10 ans // **BAGARRE** *(pop rave)*** + PAMELA** *(electro pop)*** + NOUS ÉTIONS UNE ARMÉE** *(spoken post-punk)*, L'Oasis,  20h, 13 à 20€

25|▫ Tempo // ** Scène ouverte + jam**, Le Lapin Blanc,  20h, au chapeau

25|▫ **LES GRANDS GAMINS**, Bistro Broc Café, Changé,  20h30, au chapeau

25|▫ **MYSTICODD** *(pop rock)*, Le Zoo,  21h, 0€

25|▫ **"Anonyme passager"**  *(monologue musical)*, Théâtre du Passeur,  18h30, 8 à 10€

25|▫ Diverscène // **"O Féminin"** Lola Bai, Violet Arnold et Kolinga *(ch.)*, Le Rabelais, Changé,  19h, 13 à 17€

25|▫ **Show Drag** *(blind test + show)*, Blue Zinc,  20h30, au chapeau

25|▫ Théâtre de l’Acthalia // **"Un parfum de vérité "** Création Acthalia *(th.)*, Espace Henri Salvador, Coulaines,  20h30, 12 à 15€

25|▫ **"Le jeu de l'amour et du hasard"** Collectif Pièce Détachée *(th.)*, Théâtre de l’Écluse,  20h30, 10€ résa sms au 07 81 84 35 62

25|▫ **"Legend'Eire"**  *(danses et chants celtiques)*, L'Envol, La Bazoge,  20h30, 12 à 15€

26|▫ **ALIX LOGIACO** *(piano solo)*, Boire du bon, Saint-Pavace,  17h, au chapeau

26|▫ **"Le repas"** Cie Alta Gama *(cirque)*, Le Chapiteau,  12h30, 1€

26|▫ **"Rencontres"**  *(danse)*, Espace Saugonna, Mamers,  15h, 2,5 à 5€

26|▫ Théâtre de l’Acthalia // **"Un parfum de vérité "** Création Acthalia *(th.)*, Espace Henri Salvador, Coulaines,  16h, 12 à 15€

26|▫ Superforma fête ses 10 ans / Ondes Silencieuses #4 // **"Lullabies"** Camilla Sparksss *(contes de fées pour adultes)*, Théâtre de Chaoué, Allonnes,  16h30, 5 à 10€

26|▫ **"Ma Région Virtuose"**  *(concerts)*, Espace Ronsard, Le Lude,  17h, 6€

26|▫ **"Anonyme passager"**  *(monologue musical)*, Théâtre du Passeur,  17h, 8 à 10€

28|▫ ** Scène ouverte avec yves**, Bistro Broc Café, Changé,  20h30, au chapeau

28|▫ **"Hors d'oeuvre d'arts"** Emma Finet & Sandrine Rouault, Salle des fêtes, Malicorne-sur-Sarthe,  14h30, tnc

29|▫ ** Apéro chanson**, Blue Zinc,  19h30, au chapeau

29|▫ **"Soirée Dutronc Hardy"** Quai de scène, Bistro Broc Café, Changé,  20h30, au chapeau

29|▫ **"Désintegration"** Cie El Ajouad *(th.)*, Eve scène universitaire,  20h30, 5 à 12€

30|▫ **BURNIN' RUBBER** *(rock)*** + Musique irlandaise**, Blue Zinc,  20h, au chapeau

30|▫ **ASTÉRÉOTYPIE** *(spoken garage)*** + GRIFE** *(rock)*, Les Saulnières ,  20h30, 15 à 22€

30|▫ **LE CRAPAUD ET LA MORUE** *(noise/rennes)*** + GUEST**, Le Lézard,  21h, au chapeau

31|▫ **ELI' JAZZ** *(jazz swing)*** + Jam session**, Le Lapin Blanc,  20h, 0€

31|▫ **DAVID BONNEVILLE**, Bistro Broc Café, Changé,  20h30, au chapeau

31|▫ **ANGLE MORT** *(rock)*, Blue Zinc,  20h30, au chapeau

31|▫ **CLARA YSÉ** *(chanson folk)*** + SIMONE D'OPALE** *(folk)*, Les Saulnières ,  20h30, complet

31|▫ **SMOOTH COVER** *(blues jazz)*, Le Zoo,  21h, au chapeau

31|▫ **"Bob et moi"** Collectif Bajour *(th. musical)*, CC Le Courmesnil, Loué,  20h30, 4 à 10€

31|▫ **"Armour"** Arno Ferrera & Gilles Polet *(cirque +14 ans)*, Cité du cirque,  20h30, 5 à 12€

31|▫ **"Aréa jeune ballet de Genève"**  *(danse)*, Espace Saugonna, Mamers,  20h30, 0 à 12€

