date|event

25|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Anonyme passager"</strong>  <em>(monologue musical)</em></span><br>&nbspThéâtre du Passeur <br>&nbsp18h30, 8 à 10€</p>

25|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Diverscène // <strong>"O Féminin"</strong> Lola Bai, Violet Arnold et Kolinga <em>(ch.)</em></span><br>&nbspLe Rabelais Changé, <br>&nbsp19h, 13 à 17€</p>

25|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>Show Drag</strong> <em>(blind test + show)</em></span><br>&nbspBlue Zinc <br>&nbsp20h30, au chapeau</p>

25|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Théâtre de l’Acthalia // <strong>"Un parfum de vérité "</strong> Création Acthalia <em>(th.)</em></span><br>&nbspEspace Henri Salvador Coulaines, <br>&nbsp20h30, 12 à 15€</p>

25|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Le jeu de l'amour et du hasard"</strong> Collectif Pièce Détachée <em>(th.)</em></span><br>&nbspThéâtre de l’Écluse <br>&nbsp20h30, 10€ résa sms au 07 81 84 35 62</p>

25|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Legend'Eire"</strong>  <em>(danses et chants celtiques)</em></span><br>&nbspL'Envol La Bazoge, <br>&nbsp20h30, 12 à 15€</p>

26|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>ALIX LOGIACO</strong> <em>(piano solo)</em></span><br>&nbspBoire du bon Saint-Pavace, <br>&nbsp17h, au chapeau</p>

26|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Le repas"</strong> Cie Alta Gama <em>(cirque)</em></span><br>&nbspLe Chapiteau <br>&nbsp12h30, 1€</p>

26|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Rencontres"</strong>  <em>(danse)</em></span><br>&nbspEspace Saugonna Mamers, <br>&nbsp15h, 2,5 à 5€</p>

26|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Théâtre de l’Acthalia // <strong>"Un parfum de vérité "</strong> Création Acthalia <em>(th.)</em></span><br>&nbspEspace Henri Salvador Coulaines, <br>&nbsp16h, 12 à 15€</p>

26|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Superforma fête ses 10 ans / Ondes Silencieuses #4 // <strong>"Lullabies"</strong> Camilla Sparksss <em>(contes de fées pour adultes)</em></span><br>&nbspThéâtre de Chaoué Allonnes, <br>&nbsp16h30, 5 à 10€</p>

26|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Ma Région Virtuose"</strong>  <em>(concerts)</em></span><br>&nbspEspace Ronsard Le Lude, <br>&nbsp17h, 6€</p>

26|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Anonyme passager"</strong>  <em>(monologue musical)</em></span><br>&nbspThéâtre du Passeur <br>&nbsp17h, 8 à 10€</p>

28|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong> Scène ouverte avec yves</strong></span><br>&nbspBistro Broc Café Changé, <br>&nbsp20h30, au chapeau</p>

28|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Hors d'oeuvre d'arts"</strong> Emma Finet & Sandrine Rouault</span><br>&nbspSalle des fêtes Malicorne-sur-Sarthe, <br>&nbsp14h30, tnc</p>

29|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong> Apéro chanson</strong></span><br>&nbspBlue Zinc <br>&nbsp19h30, au chapeau</p>

29|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Soirée Dutronc Hardy"</strong> Quai de scène</span><br>&nbspBistro Broc Café Changé, <br>&nbsp20h30, au chapeau</p>

29|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Désintegration"</strong> Cie El Ajouad <em>(th.)</em></span><br>&nbspEve scène universitaire <br>&nbsp20h30, 5 à 12€</p>

30|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>BURNIN' RUBBER</strong> <em>(rock)</em><strong> + Musique irlandaise</strong></span><br>&nbspBlue Zinc <br>&nbsp20h, au chapeau</p>

30|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>ASTÉRÉOTYPIE</strong> <em>(spoken garage)</em><strong> + GRIFE</strong> <em>(rock)</em></span><br>&nbspLes Saulnières  <br>&nbsp20h30, 15 à 22€</p>

30|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>LE CRAPAUD ET LA MORUE</strong> <em>(noise/rennes)</em><strong> + GUEST</strong></span><br>&nbspLe Lézard <br>&nbsp21h, au chapeau</p>

31|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>ELI' JAZZ</strong> <em>(jazz swing)</em><strong> + Jam session</strong></span><br>&nbspLe Lapin Blanc <br>&nbsp20h, 0€</p>

31|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>DAVID BONNEVILLE</strong></span><br>&nbspBistro Broc Café Changé, <br>&nbsp20h30, au chapeau</p>

31|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>ANGLE MORT</strong> <em>(rock)</em></span><br>&nbspBlue Zinc <br>&nbsp20h30, au chapeau</p>

31|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>CLARA YSÉ</strong> <em>(chanson folk)</em><strong> + SIMONE D'OPALE</strong> <em>(folk)</em></span><br>&nbspLes Saulnières  <br>&nbsp20h30, complet</p>

31|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>SMOOTH COVER</strong> <em>(blues jazz)</em></span><br>&nbspLe Zoo <br>&nbsp21h, au chapeau</p>

31|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Bob et moi"</strong> Collectif Bajour <em>(th. musical)</em></span><br>&nbspCC Le Courmesnil Loué, <br>&nbsp20h30, 4 à 10€</p>

31|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Armour"</strong> Arno Ferrera & Gilles Polet <em>(cirque +14 ans)</em></span><br>&nbspCité du cirque <br>&nbsp20h30, 5 à 12€</p>

31|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Aréa jeune ballet de Genève"</strong>  <em>(danse)</em></span><br>&nbspEspace Saugonna Mamers, <br>&nbsp20h30, 0 à 12€</p>

