date|event

10|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Blues Spirit // <strong> Jam du nouvel an</strong></span><br>&nbspLe Zoo <br>&nbsp21h, 0€</p>

10|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">La Perche Productions // <strong>"Pierre Thevenoux est marrant... normalement"</strong> Pierre Thevenoux  <em>(one man show)</em></span><br>&nbspLes Saulnières  <br>&nbsp21h, 30€</p>

11|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong> Session irlandaise</strong></span><br>&nbspBar la rotonde Mamers, <br>&nbsp11h, tnc</p>

11|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>TRIO PHILIPPE DUCHEMIN</strong> <em>(jazz)</em></span><br>&nbspBoire du bon Saint-Pavace, <br>&nbsp20h, 15€</p>

11|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>LULU JAZZ BAND</strong> <em>(jazz swing)</em></span><br>&nbspLe Lapin Blanc <br>&nbsp20h, 0€</p>

11|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>ZOUJ</strong> <em>(folk funk sexy soul)</em></span><br>&nbspBistro Broc Café Changé, <br>&nbsp20h30, au chapeau</p>

11|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>YERAO</strong> <em>(métal)</em><strong> + ASLEEP WITH HOPE</strong> <em>(métal)</em></span><br>&nbspBlue Zinc <br>&nbsp20h30, au chapeau</p>

11|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>THÉO MARCLAY / NUIT INCOLORE</strong> <em>(musique)</em></span><br>&nbspScène J.Le Theule Sablé-sur-Sarthe, <br>&nbsp20h30, 13 à 25€</p>

11|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>BONOME TÊTARD </strong> <em>(ch. fr.)</em></span><br>&nbspLe Zoo <br>&nbsp21h, 0€</p>

